readout,physical_channel,kobs_per_s,tau_min,fit_cutoff_after_injection_min,forecast_T99_after_injection_min,T99_conditional95_low_min,T99_conditional95_high_min,slope_only_margin1_crossing_after_injection_min,strict_joint_gate,analysis_cutoff_after_injection_min
L1 670nm,1,0.008251289777623214,2.0198862378903755,15.587866666666663,16.468269881820397,11.190113097592196,30.141039319340585,20.684983333333328,No accepted switch within analyzed prefix,21.587866666666663
L2 785nm,1,0.008703148625506762,1.9150157470390448,15.587866666666663,15.985323423961916,11.459094245072045,25.49032690240987,20.95511666666666,No accepted switch within analyzed prefix,21.587866666666663
L3 670nm,2,0.003942362122838976,4.227583907148707,15.587866666666663,23.924760034630935,19.17656604164901,31.238194808763545,21.495599999999996,No accepted switch within analyzed prefix,21.587866666666663
L5 785nm,2,0.004206498998783882,3.9621230556538998,15.587866666666663,22.70226763578004,17.380422935114233,32.22544977090414,19.46876666666666,No accepted switch within analyzed prefix,21.587866666666663
