channel,source,S_bulk,arrival_detection_min,first_derivative_plateau_min,joint_exploratory_trigger_min,mean_SPR_slope_50_54,mean_weighted_TIR_slope_50_54,mean_corrected_slope_50_54,derivative_identity_max_error,start_min,end_min,samples,baseline_mdeg,tail_amplitude_mdeg,Rinf_mdeg,kobs_per_s,tau_s,tau_min,t95_experiment_min,t99_experiment_min,remaining_tail_mdeg_at_cutoff,rmse_mdeg,residual_lag1,parameter_boundary,kobs_per_s_bootstrap95,tau_min_bootstrap95,t99_experiment_min_bootstrap95,Rinf_mdeg_bootstrap95,bootstrap_success,bootstrap_block_samples,bootstrap_note
L1 670nm,Vendor,1.5934355051406113,43.57848333333333,,,5.605976718590925,5.400988668415328,0.20498805017420332,2.390976305832737e-11,43.57848333333333,51.959266666666664,63,95.02159466107378,7.394698134920384,102.41629279599417,0.005888787138252066,169.81425487504106,2.8302375812506844,52.05711739731139,56.61220906177203,0.38274141635559195,1.2980020647751591,0.42714067384809234,False,"[0.0024309818795194026, 0.01167158898892412]","[1.4279690139013979, 6.856853751185468]","[50.15452366266686, 75.15546179797325]","[101.34487121444955, 105.35659993943267]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
L1 670nm,Centroid + vendor TIR,1.5934355051406113,43.57848333333333,,,5.277780448314298,5.400988668417261,-0.12320822010333358,2.532907217300817e-11,43.57848333333333,51.95926666666666,63,89.59017235479658,5.207963773900765,94.79813612869734,0.008251289777623214,121.19317427342253,2.0198862378903755,49.629521725089084,52.880403215153734,0.08217144992350983,1.1383169607560377,0.5079034310574206,False,"[0.003340858030750696, 0.01907741899617055]","[0.873749054885114, 4.988890397415596]","[47.60224643092553, 66.55317265267392]","[94.09495544896853, 96.34827613395441]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
L2 785nm,Vendor,1.3163693763207198,43.57848333333333,,,4.553473777687153,4.326394104008183,0.22707967367984264,2.710620616852566e-11,43.57848333333333,51.959266666666664,63,54.562157175650555,5.448295421182823,60.010452596833375,0.004897690089915815,204.17788419462627,3.4029647365771045,53.77285462046352,59.24971508218703,0.46417855886318327,0.7577902256519042,0.44991026074136253,False,"[0.0017890829188266727, 0.00904162979457376]","[1.843575276569039, 9.316077335454253]","[52.068461232613814, 86.48060492892662]","[59.22557277100559, 62.709755245681215]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
L2 785nm,Centroid + vendor TIR,1.3163693763207198,43.57848333333333,,,4.381057998370427,4.32639410400962,0.05466389436075284,2.162892087653745e-11,43.57848333333333,51.95926666666666,63,51.00649639946988,3.5207754680266614,54.527271867496545,0.008703148625506762,114.90094482234268,1.9150157470390448,49.3153578111023,52.39745675729525,0.04426013438385337,0.6797151107083266,0.41862561775754487,False,"[0.004188712441619675, 0.01787969492819967]","[0.9321575689283655, 3.9790010276196255]","[47.87122757840538, 61.902460235743206]","[54.11064563188118, 55.240943939702]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
L3 670nm,Vendor,1.2560026566024527,40.86815,,,4.216404973399282,3.429197355374509,0.7872076180242099,2.5497826072751195e-11,40.86815,51.959266666666664,83,115.13187479347155,25.78658570745015,140.9184605009217,0.003417737544691844,292.5912206316485,4.8765203438608085,55.47689937674643,63.325356098912195,2.652394646744276,1.4541912387684814,0.6238939625659967,False,"[0.002339595762938063, 0.0044963926903289365]","[3.706908207873073, 7.123952135497721]","[57.93909316109162, 73.6751619808003]","[138.24213155684097, 145.47324523573573]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
L3 670nm,Centroid + vendor TIR,1.2560026566024527,40.86815,,,4.0073819238711925,3.429197355374053,0.5781845684959838,3.0118574301241097e-11,40.86815,51.95926666666666,83,107.72063266890433,21.30300474719008,129.0236374160944,0.003942362122838976,253.65503442892242,4.227583907148707,53.53285954980286,60.33689336796427,1.5454826183539774,1.2301784766930728,0.6130525559148152,False,"[0.0028658432776163833, 0.005214025829106354]","[3.1965266820695986, 5.815676090231279]","[55.58869937498235, 67.65032814209688]","[127.18304199696918, 132.04407087790645]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
L5 785nm,Vendor,1.1543942747104796,40.86815,,,3.6141697556453436,3.0287009701498286,0.5854687854965201,2.212541261314982e-11,40.86815,51.959266666666664,83,64.58654422590351,14.32776800308709,78.9143122289906,0.0034240639714540077,292.0506183111282,4.86751030518547,55.44990771310074,63.28386333742992,1.4675552100902596,1.0150409839235277,0.5381748491553143,False,"[0.002222049563681259, 0.0050384735855709545]","[3.3078806909336094, 7.503688695422682]","[56.101503536693144, 75.4239134650964]","[77.06127701305633, 82.24405244198694]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
L5 785nm,Centroid + vendor TIR,1.1543942747104796,40.86815,,,3.402920898851638,3.0287009701495493,0.37421992870292037,1.911509839302994e-11,40.86815,51.95926666666666,83,59.7862248838125,10.773277161663769,70.55950204547626,0.004206498998783882,237.727383339234,3.9621230556538998,52.73760990961474,59.114400969113376,0.6555914077007297,0.8380088792893318,0.4955291330543328,False,"[0.002764153796903714, 0.005938609067006291]","[2.8064991621312894, 6.030055781375913]","[53.79255626844757, 68.63758310423748]","[69.53899922503665, 72.43980050255364]",120,8,"Conditional moving-block residual intervals; excludes calibration, delivery and model-choice uncertainty."
