time_min,window_start_min,samples,dSPR,dTIR,dWeightedTIR,dCorrected,SPRHalfWidth95,TIRHalfWidth95,CorrectedHalfWidth95,CorrectedLow95,CorrectedHigh95,identity_error,equivalent_slope,sustained_plateau,corrected_response_mdeg
0.1444833333333333,0.1444833333333333,1,,,,,,,,,,,False,False,5.451545612704649
0.2803166666666666,0.1444833333333333,2,,,,,,,,,,,False,False,5.651030312226794
0.4159,0.1444833333333333,3,,,,,,,,,,,False,False,6.4591944981584675
0.5517166666666666,0.1444833333333333,4,,,,,,,,,,,False,False,6.182090921436611
0.6867666666666666,0.1444833333333333,5,,,,,,,,,,,False,False,6.2359684439361445
0.82235,0.1444833333333333,6,,,,,,,,,,,False,False,6.806777702942782
0.9581833333333334,0.1444833333333333,7,,,,,,,,,,,False,False,7.217091563339636
1.094833333333333,0.1444833333333333,8,,,,,,,,,,,False,False,7.104955719936697
1.2304333333333333,0.1444833333333333,9,,,,,,,,,,,False,False,6.742980973234808
1.3668,0.1444833333333333,10,,,,,,,,,,,False,False,6.883126927867124
1.5034,0.1444833333333333,11,,,,,,,,,,,False,False,6.580242934411217
1.63895,0.1444833333333333,12,,,,,,,,,,,False,False,6.868054463826411
1.7745166666666667,0.1444833333333333,13,,,,,,,,,,,False,False,6.528081548131013
1.9103666666666668,0.1444833333333333,14,-1.1347429088855279,-1.0057104241241177,-1.602534697689392,0.46779178880569816,0.3494017292108678,0.5740361865216569,0.6313722295647103,-0.16358044075901212,1.0991640183704083,1.8340884366807586e-12,False,False,6.213295600777201
2.0468166666666665,0.1444833333333333,15,-1.1213493351424404,-0.9102227115618007,-1.4503811861879348,0.3290318510498764,0.2992864649437591,0.5366360540650851,0.6255839156888354,-0.296552064638959,0.9546157667387118,4.382050278195493e-12,False,False,6.217787485431472
2.1837,0.2803166666666666,15,-0.871125090008718,-0.6305220626563823,-1.0046962414111726,0.1335711513984279,0.1432944740531295,0.37672766937163227,0.5081666434057176,-0.3745954920072897,0.6417377948041455,-4.026778910315443e-12,False,False,6.584442913728708
2.3187166666666665,0.4159,15,-0.8071673036029097,-0.44416866704341373,-0.7077541243379539,-0.09941317926313786,0.13559942247337095,0.29766567298842345,0.39952594208809283,-0.4989391213512307,0.30011276282495497,1.8178791805212313e-12,False,False,6.312873134746042
2.4539833333333334,0.5517166666666666,15,-0.7306946059725306,-0.33904127006826457,-0.5402403974347395,-0.19045420852671668,0.1101540110909523,0.2843062305727157,0.41438548153040167,-0.6048396900571184,0.22393127300368498,1.1074363648333474e-11,False,False,6.256273298444285
2.5890166666666667,0.6867666666666666,15,-0.7095138918848534,-0.2691940881522896,-0.42894341783580986,-0.28057047403854085,0.1059337342871129,0.19794776561321317,0.2907487661914275,-0.5713192402299683,0.010178292152886625,1.050265430180275e-11,False,False,6.549339254786901
2.723583333333333,0.82235,15,-0.6969365408331214,-0.20526812962634722,-0.32708152582042704,-0.3698550150147639,0.08225376354222173,0.11392848422523935,0.20630938705273824,-0.5761644020675022,-0.16354562796202568,-2.0695667402037543e-12,False,False,6.546767211133556
2.858883333333333,0.9581833333333334,15,-0.6623684457263153,-0.23015975664020516,-0.36674472808502545,-0.29562371764586715,0.09549820769847005,0.1613042350477259,0.32756747703077094,-0.6231911946766381,0.03194375938490379,-4.577338508227058e-12,False,False,6.8285744184904615
2.993383333333333,1.094833333333333,15,-0.6513178709756176,-0.2839405560443993,-0.4524409633505134,-0.19887690763243882,0.06347732391116333,0.15632248526085724,0.2700306999594472,-0.468907607591886,0.07115379232700836,-7.334688412186097e-12,False,False,6.482983715635783
3.127883333333333,1.2304333333333333,15,-0.592929118702159,-0.3269126990053337,-0.5209143016764445,-0.07201481701667944,0.0803773061742241,0.12724936301939707,0.23727707436712303,-0.3092918913838025,0.1652622573504436,9.035105996701986e-12,False,False,6.669040789049177
3.262933333333333,1.3668,15,-0.607650336001825,-0.3361855642324372,-0.5356900143636949,-0.07196032162937627,0.09767377972658245,0.10088639618275345,0.22633168743905457,-0.29829200906843084,0.1543713658096783,8.753886504564434e-12,False,False,6.331421830000181
3.3979833333333334,1.5034,15,-0.5704386742145289,-0.3336544046906056,-0.5316567748805651,-0.03878189935676346,0.08750338713853455,0.09923838961158052,0.1949208865551361,-0.23370278591189955,0.15613898719837263,-2.2799651056004677e-11,False,False,6.291263588769652
3.533583333333333,1.63895,15,-0.5604874698874482,-0.31144481845694827,-0.4962672316213733,-0.06422023826053191,0.12495965035483786,0.11790733488316182,0.21047160696454723,-0.27469184522507917,0.1462513687040153,5.543010495046019e-12,False,False,6.236264819592179
3.668083333333333,1.7745166666666667,15,-0.4730809769098414,-0.28177745991706615,-0.4489942091801887,-0.02408676772574836,0.07836833327588584,0.13478343967509235,0.19486968237229726,-0.21895645009804562,0.1707829146465489,3.904376821850519e-12,False,False,6.21205176141666
3.803383333333333,1.9103666666666668,15,-0.42543281412508804,-0.3054431543350802,-0.48670396691966017,0.061271152802873985,0.11130634948918275,0.11471602248919711,0.18526833648832272,-0.12399718368544874,0.2465394892911967,8.301859200088302e-12,False,False,6.751896718189528
3.9384166666666665,2.0468166666666665,15,-0.4476324737770483,-0.31498859185376205,-0.5019140059740291,0.05428153220418608,0.10349717804762923,0.11403337879316171,0.1716203465502367,-0.11733881434605062,0.22590187875442277,7.2052364075148034e-12,False,False,6.6451374009557185
4.072666666666667,2.1837,15,-0.45734475740027847,-0.2496146703560953,-0.3977448783493719,-0.059599879052257165,0.1415094523409071,0.14525192159173925,0.15631425232909343,-0.2159141313813506,0.09671437327683627,-1.350586309456503e-12,False,False,6.124622344264935
4.2077,2.3187166666666665,15,-0.39980522904807003,-0.2594175366721174,-0.4133651135894685,0.013559884540882194,0.07883255757070766,0.1340049021441728,0.16467780421441686,-0.15111791967353466,0.17823768875529905,-5.162537064506978e-13,False,False,6.7016660420413245
4.3422,2.4539833333333334,15,-0.36828284560033353,-0.26922428266334464,-0.42899153084178526,0.060708685239660554,0.07033393255598411,0.13281845519635807,0.1955792758967802,-0.13487059065711965,0.25628796113644076,-1.7911783167789963e-12,False,False,6.888517707302526
4.478316666666666,2.5890166666666667,15,-0.34145223324594554,-0.13776720273745013,-0.21952315228575786,-0.12192908095130406,0.047996628320663225,0.1267527041869052,0.20575131418515388,-0.32768039513645797,0.08382223323384982,8.883616064991884e-12,False,False,5.7955664402470575
4.6134,2.723583333333333,15,-0.31172079868701985,-0.17633966004723334,-0.2809858752836869,-0.030734923409909243,0.04162597701593257,0.11615423323978089,0.20582506813778098,-0.23655999154769022,0.17509014472787174,-6.576295064064652e-12,False,False,6.871901004931715
4.748683333333333,2.858883333333333,15,-0.31983997096540406,-0.22174966251986916,-0.35334378551210777,0.033503814544019406,0.052229186312682564,0.14028695223378065,0.2497631735138126,-0.2162593589697932,0.283266988057832,-2.6842972289387035e-12,False,False,6.775692295886984
4.884,2.993383333333333,15,-0.3263405355755822,-0.31241090618277667,-0.49780663010478887,0.17146609453448036,0.08099752231323017,0.17526234436181862,0.2189620348807751,-0.04749594034629473,0.39042812941525545,5.273670389271956e-12,False,False,6.885015388768807
5.019033333333334,3.127883333333333,15,-0.3416669140497106,-0.3853815744732856,-0.614080683792724,0.27241376974598097,0.05361376492771788,0.16318070579750665,0.24926649180757907,0.023147277938401906,0.5216802615535601,2.9676261448230434e-12,False,False,7.08815796412091
5.1538,3.262933333333333,15,-0.3358224991025054,-0.4407466465891048,-0.7023013554467407,0.3664788563401089,0.061499287364342944,0.1072852257865676,0.13646208764654177,0.23001676869356713,0.5029409439866507,-4.126365915624319e-12,False,False,6.924797496823885
5.288833333333334,3.3979833333333334,15,-0.349888197168184,-0.3976553151260305,-0.6336380979296953,0.2837499007691804,0.04645274833283026,0.12684820556823873,0.19748211048855843,0.08626779028062195,0.48123201125773885,7.669087587203194e-12,False,False,6.3921065819668
5.42335,3.533583333333333,15,-0.35178526300296653,-0.37580547359539196,-0.59882178465308,0.2470365216540813,0.040767488688181176,0.14446944989813518,0.20552409444206932,0.04151242721201198,0.4525606160961506,3.967826067707847e-12,False,False,6.694992017750337
5.5584,3.668083333333333,15,-0.3271790149738081,-0.31498582110361895,-0.5019095909623753,0.1747305759927258,0.0693457306106076,0.15875044165545488,0.1968420343234816,-0.022111458330755812,0.37157261031620736,4.158562383338449e-12,False,False,6.623294763870945
5.6931666666666665,3.803383333333333,15,-0.3071816931187641,-0.220826448086882,-0.3518727028557278,0.044691009738016874,0.07846168348056742,0.17169488941831343,0.21174390939092894,-0.16705289965291206,0.2564349191289458,1.0531575611594235e-12,False,False,6.394198530317226
5.828,3.9384166666666665,15,-0.288378343822842,-0.18525236900677555,-0.29518770218680634,0.006809358354075812,0.061194954611798524,0.19626648688674492,0.25892861060101285,-0.25211925224693704,0.26573796895508867,-9.888534435731344e-12,False,False,6.30123618485959
5.964666666666667,4.072666666666667,15,-0.28090490722388495,-0.14674116620517452,-0.23382258429706465,-0.04708232292250614,0.05445458733593915,0.22381061129240173,0.31249276235760676,-0.3595750852801129,0.2654104394351006,4.3141601402396645e-12,False,False,6.272811302194896
6.099966666666667,4.2077,15,-0.24186856442975113,0.029248542618006468,0.04660566628114983,-0.2884742307014676,0.05501137550553634,0.2543245230236043,0.35986903563009104,-0.6483432663315587,0.07139480492862343,9.43334299563503e-12,False,False,5.8015998994451365
6.235283333333333,4.3422,15,-0.2536724318342749,0.11269107241605525,0.1795659559001142,-0.4332383877299435,0.059822426339895166,0.317896543942094,0.47069240881468777,-0.9039307965446313,0.03745402108474427,4.445610546355283e-12,False,False,5.617708976256836
6.370866666666666,4.478316666666666,15,-0.19694371554942336,0.17586859852235648,0.2802352691248425,-0.47717898466180486,0.08289221865276689,0.370608567832117,0.529432678828938,-1.0066116634907427,0.0522536941671331,1.2460976694939063e-11,False,False,5.793961023977317
6.504833333333333,4.6134,15,-0.1232248717933544,0.3033861492840515,0.4834262620370975,-0.6066511338394776,0.1380503957803456,0.15658403035722315,0.2564164276919285,-0.8630675615314061,-0.35023470614754904,-9.025669100992673e-12,False,False,6.4240784777575755
6.6406833333333335,4.748683333333333,15,-0.019543641559721436,0.302401255339646,0.4818568970572838,-0.5014005386092322,0.17376080202297084,0.1505999479212624,0.37916758028510356,-0.8805681188943357,-0.12223295832412862,7.773115484610571e-12,False,False,6.551811896082654
6.77545,4.884,15,0.049374926507880446,0.28097826617158717,0.4477207454906561,-0.39834581897412136,0.16079204314615841,0.2022371133001012,0.47692988238974227,-0.8752757013638637,0.07858406341562091,8.654299499255558e-12,False,False,6.604757650922693
