time_min,window_start_min,samples,dSPR,dTIR,dWeightedTIR,dCorrected,SPRHalfWidth95,TIRHalfWidth95,CorrectedHalfWidth95,CorrectedLow95,CorrectedHigh95,identity_error,equivalent_slope,sustained_plateau,corrected_response_mdeg
0.14448333333333335,0.14448333333333335,1,,,,,,,,,,,False,False,4.387109957111534
0.28031666666666666,0.14448333333333335,2,,,,,,,,,,,False,False,3.6485044729342917
0.4159,0.14448333333333335,3,,,,,,,,,,,False,False,5.245370169941452
0.5517166666666667,0.14448333333333335,4,,,,,,,,,,,False,False,5.026718738256022
0.6867666666666667,0.14448333333333335,5,,,,,,,,,,,False,False,4.747032150320592
0.82235,0.14448333333333335,6,,,,,,,,,,,False,False,4.11363884228922
0.9581833333333333,0.14448333333333335,7,,,,,,,,,,,False,False,5.407582498490228
1.0948333333333333,0.14448333333333335,8,,,,,,,,,,,False,False,5.531078523665201
1.2304333333333333,0.14448333333333335,9,,,,,,,,,,,False,False,5.361806131302728
1.3668,0.14448333333333335,10,,,,,,,,,,,False,False,5.651723123490228
1.5033999999999998,0.14448333333333335,11,,,,,,,,,,,False,False,4.537831521927728
1.6389500000000001,0.14448333333333335,12,,,,,,,,,,,False,False,4.768139070540201
1.7745166666666667,0.14448333333333335,13,,,,,,,,,,,False,False,5.085471799917286
1.9103666666666668,0.14448333333333335,14,-1.5780135287859594,-1.0057104241204797,-1.602534697683595,0.024521168883438804,0.5218559530323009,0.5740361865231242,0.8695506914665431,-0.8450295225831043,0.8940718603499819,-1.4196865905091727e-11,False,False,3.2374821950797923
2.0468166666666665,0.14448333333333335,15,-1.5020947761659045,-0.9102227115472488,-1.4503811861647473,-0.05171358999541553,0.4132670493970111,0.5366360540634891,0.7299430339268049,-0.7816566239222205,0.6782294439313894,5.7416293941514596e-12,False,False,4.378664326024591
2.1837,0.28031666666666666,15,-1.0516455383622088,-0.6305220626309165,-1.0046962413705944,-0.04694929698598571,0.4232975900299322,0.3767276693762798,0.5861005572543625,-0.6330498542403482,0.5391512602683768,5.628608690244619e-12,False,False,5.172121357274591
2.3187166666666665,0.4159,15,-0.9265152305852098,-0.4441686670361378,-0.7077541243263602,-0.2187611062599899,0.6360776206814591,0.29766567299145397,0.46713801521938597,-0.6858991214793759,0.24837690895939607,-1.1403100685924983e-12,False,False,5.167468595886021
2.4539833333333334,0.5517166666666667,15,-0.6509847420711594,-0.3390412700646266,-0.5402403974289427,-0.11074434465626837,0.5935628340027027,0.28430623057966914,0.4855754989781591,-0.5963198436344275,0.37483115432189074,-1.4051648733470756e-11,False,False,5.083545256042271
2.5890166666666667,0.6867666666666667,15,-0.5843439385862439,-0.2691940881559276,-0.4289434178416067,-0.1554005207381124,0.4037163145056474,0.19794776561363284,0.4801723064154743,-0.6355728271535868,0.3247717856773619,6.524780715722045e-12,False,False,4.479195386637002
2.723583333333333,0.82235,15,-0.4989632821161649,-0.20526812961907126,-0.32708152580883326,-0.1718817563032644,0.42541043964496766,0.11392848422819132,0.46178210779712475,-0.6336638641003891,0.28990035149386034,4.06724653956303e-12,False,False,4.875172655432834
2.858883333333333,0.9581833333333333,15,-0.562865492713172,-0.23015975663656718,-0.3667447280792286,-0.1961207646309049,0.3277456882227404,0.16130423504519414,0.5048619747857209,-0.7009827394166258,0.30874121015481604,3.0385138849453597e-12,False,False,5.578001833768212
2.9933833333333335,1.0948333333333333,15,-0.6041270246751083,-0.28394055605167523,-0.45244096336210715,-0.1516860613028257,0.34221414840531983,0.15632248525200323,0.5003474590911094,-0.6520335203939351,0.34866139778828376,1.0175416065294485e-11,False,False,4.677733279080712
3.1278833333333336,1.2304333333333333,15,-0.4494575506723777,-0.3269126990089717,-0.5209143016822414,0.07145675100946391,0.40115633747644663,0.12724936301285336,0.5402069851647611,-0.46875023415529715,0.611663736174225,-3.9979131116751887e-13,False,False,5.402525759549462
3.2629333333333337,1.3668,15,-0.3192660310814972,-0.33618556422152324,-0.5356900143463043,0.21642398327639967,0.42592572488907576,0.1008863961798695,0.5063892637400838,-0.2899652804636841,0.7228132470164834,1.1592615756228497e-11,False,False,5.149830858557834
3.3979833333333334,1.5033999999999998,15,-0.09587839344749227,-0.33365440467969165,-0.5316567748631744,0.43577838142482506,0.25593396271839397,0.09923838960815481,0.27510659766750734,0.16067178375731772,0.7108849790923324,9.142908652393089e-12,False,False,5.187977831214084
3.533583333333333,1.6389500000000001,15,-0.17263822485256242,-0.3114448184678622,-0.496267231638764,0.32362900678344886,0.31490161115137194,0.11790733488722195,0.38106473668478336,-0.0574357299013345,0.7046937434682322,-2.7527424784068444e-12,False,False,4.602315788390115
3.6680833333333336,1.7745166666666667,15,-0.1665997997915838,-0.2817774599243421,-0.4489942091917824,0.28239440939614724,0.3887059505587159,0.13478343967719983,0.48465263747722964,-0.2022582280810824,0.7670470468733769,-4.05137035031089e-12,False,False,4.732015495421365
3.8033833333333336,1.9103666666666668,15,-0.1349040314744343,-0.3054431543350802,-0.48670396691966017,0.3517999354407948,0.60695904516881,0.11471602248901265,0.6363394818371236,-0.28453954639632884,0.9881394172779184,-4.4310666247326935e-12,False,False,4.96174543183588
3.938416666666667,2.0468166666666665,15,-0.42717953697138,-0.31498859185012407,-0.5019140059682323,0.07473446900621639,0.21287853908395363,0.11403337879501955,0.21493210592197712,-0.14019763691576073,0.2896665749281935,9.36406507889842e-12,False,False,5.19062726777338
4.072666666666667,2.1837,15,-0.6686409575049765,-0.24961467034881935,-0.3977448783377781,-0.2708960791605932,0.26578527894157683,0.145251921594689,0.30408560803391194,-0.5749816871945052,0.03318952887331872,6.6052163738561376e-12,False,False,3.793599968077615
