channel,source,cutoff_min,plateau_pass,start_min,end_min,samples,baseline_mdeg,tail_amplitude_mdeg,Rinf_mdeg,kobs_per_s,tau_s,tau_min,t95_experiment_min,t99_experiment_min,remaining_tail_mdeg_at_cutoff,rmse_mdeg,residual_lag1,parameter_boundary,rate_stable_20pct,joint_exploratory_gate
L1 670nm,Vendor,48.0,False,43.57848333333333,47.90298333333333,33,95.02047560309975,6.791169954982513,101.81164555808226,0.0066654797331544705,150.02671075960876,2.5004451793268125,51.06914765529516,55.093458924866816,1.2045802981240683,1.6099736625094412,0.4782783131449992,False,False,False
L1 670nm,Vendor,49.0,False,43.57848333333333,48.98441666666667,41,95.16291990091662,7.935379535132102,103.09829943604872,0.004890446909227493,204.48028954432763,3.408004825738794,53.78795337822678,59.272925550529166,1.624313696019494,1.476581692931933,0.48633386142215645,False,False,False
L1 670nm,Vendor,50.0,False,43.57848333333333,49.9294,48,95.1190938586957,7.5715236095511855,102.6906174682469,0.005359532990997119,186.58342092114898,3.10972368201915,52.894382929393245,57.89929012042903,0.982276416281516,1.3759516585996507,0.47629913254221745,False,False,False
L1 670nm,Vendor,51.0,False,43.57848333333333,50.87656666666667,55,95.21542530477872,8.066027978933118,103.28145328371184,0.004629328511747787,216.01404986971934,3.600234164495322,54.36382101226366,60.15817437024293,1.0624182204096295,1.298325921213702,0.47052180163994217,False,True,False
L1 670nm,Vendor,52.0,False,43.57848333333333,51.959266666666664,63,95.02159466107378,7.394698134920384,102.41629279599417,0.005888787138252066,169.81425487504106,2.8302375812506844,52.05711739731139,56.61220906177203,0.38274141635559195,1.2980020647751591,0.42714067384809234,False,False,False
L1 670nm,Vendor,53.0,False,43.57848333333333,52.90725,70,95.17362120886524,7.76091876011273,102.93453996897797,0.005011366849112527,199.54635733304815,3.3257726222174693,53.54160771221249,58.894232258544655,0.4695917414946711,1.275832417502179,0.4269375353661631,False,False,False
L1 670nm,Vendor,54.0,False,43.57848333333333,53.98918333333334,78,95.1034132665698,7.609875906337509,102.71328917290731,0.00537312027573926,186.11159785780436,3.101859964296739,52.8708253364221,57.86307636202276,0.2653170560600353,1.2567752636288139,0.39750607750857797,False,True,False
L1 670nm,Vendor,55.0,False,43.57848333333333,54.935050000000004,85,95.09606103069297,7.605089541686892,102.70115057237986,0.005400701350440995,185.16113651023213,3.086018941837202,52.82336987419397,57.790125757676535,0.1918219278767829,1.2165020919388836,0.3825640970490511,False,True,False
L1 670nm,Vendor,56.0,False,43.57848333333333,55.8809,92,95.07774104670966,7.587679353081129,102.66542039979079,0.005476359402053587,182.60306283495726,3.043384380582621,52.695648143074806,57.59378634729425,0.13321092339680707,1.177934565488322,0.37202578692200294,False,True,False
L1 670nm,Vendor,57.0,False,43.57848333333333,56.96208333333333,100,95.05098511908146,7.5602337918333244,102.61121891091479,0.0055917110182277475,178.83613740771295,2.9806022901285494,52.507569808500364,57.30466413612115,0.08481089204935852,1.158254519976895,0.33720126550204804,False,True,False
