scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,2,0.14448333333333332,Forward,0.08935669194584106,19820.0,19820.026933580986,ok,0.0004875918032668302,14467.599554612794,ok,-117.18807993832888,68.96880700430847,-0.16586235311760644,-67.91782063022765,61.39323958794701,-0.09612760576227011,1.2560026566024527,-0.045125824907361944,0.012205692657117018
1,2,0.28031666666666666,Forward,0.08943688196756225,19795.0,19819.20577411218,ok,0.0004832541468671135,14466.551564142987,ok,-118.00923940713619,68.96764477482358,-0.1670245826024897,-68.96581110003535,61.39175631280965,-0.09761088089962713,1.2560026566024527,-0.04442505687925241,0.012205692657117018
2,2,0.4159,Forward,0.08939386279257838,19835.0,19818.723849441645,ok,0.0004897019338589572,14466.870328921628,ok,-118.49116407766996,68.96696268190149,-0.16770667552458746,-68.64704632139365,61.39220747709449,-0.09715971661479245,1.2560026566024527,-0.04567381334166669,0.012205692657117018
3,2,0.5517166666666666,Forward,0.08954151771687288,19820.0,19819.307400442358,ok,0.00048601473334300795,14466.653827166321,ok,-117.9076130769572,68.96778861182707,-0.16688074559900723,-68.86354807670068,61.3919010509579,-0.09746614275137745,1.2560026566024527,-0.04446301137448326,0.012205692657117018
4,2,0.6867666666666666,Forward,0.08942330186080102,19835.0,19818.46275688554,ok,0.0004843852123841049,14466.45271763382,ok,-118.75225663377569,68.9665931440973,-0.16807621332877348,-69.06465760920219,61.39161641023068,-0.09775078347859678,1.2560026566024527,-0.045300969594684784,0.012205692657117018
5,2,0.82235,Forward,0.08946688105444958,19830.0,19819.699641566163,ok,0.0004780490885311787,14466.372950243422,ok,-117.51537195315177,68.96834377098506,-0.16632558644102716,-69.14442499960023,61.391503511315705,-0.09786368239357544,1.2560026566024527,-0.04340854136979773,0.012205692657117018
6,2,0.9581833333333334,Forward,0.08950855613884826,19825.0,19817.5364144245,ok,0.0004820068775019515,14466.776285648495,ok,-119.67859909481558,68.9652820436811,-0.16938731374497357,-68.74108959452678,61.39207437278401,-0.09729282092527311,1.2560026566024527,-0.047187272194483834,0.012205692657117018
7,2,1.0948333333333333,Forward,0.0895248432639133,19820.0,19818.788238449757,ok,0.00048554308626317023,14466.31110487958,ok,-118.42677506955806,68.9670538149963,-0.16761554242977125,-69.20627036344194,61.39141597837224,-0.09795121533704204,1.2560026566024527,-0.04458855574900754,0.012205692657117018
8,2,1.2304333333333333,Forward,0.08951389572323315,19820.0,19817.800358211312,ok,0.00048069669212285986,14466.29166226801,ok,-119.4146553080027,68.96565561697965,-0.16901374044643844,-69.22571297501236,61.391388460238076,-0.0979787334712031,1.2560026566024527,-0.04595219091606369,0.012205692657117018
9,2,1.3668,Forward,0.08955385265844351,19815.0,19819.14280119116,ok,0.00047908333793557844,14466.23624171676,ok,-118.07221232815573,68.9675556459901,-0.16711371143597248,-69.28113352626133,61.39131002066431,-0.0980571730449726,1.2560026566024527,-0.043953641592560475,0.012205692657117018
10,2,1.5034,Forward,0.0895154258031075,19820.0,19819.062991664665,ok,0.00048168402804009685,14466.597201775552,ok,-118.15202185465023,68.96744268743774,-0.16722666998834868,-68.9201734674698,61.391820906112414,-0.09754628759686099,1.2560026566024527,-0.04470827362498439,0.012205692657117018
11,2,1.63895,Forward,0.08947327752524734,19820.0,19818.24171819238,ok,0.0004917567551225304,14466.459501129288,ok,-118.97329532693402,68.96628029659783,-0.16838906082825103,-69.05787411373421,61.391626011262815,-0.09774118244646729,1.2560026566024527,-0.045625876016023095,0.012205692657117018
12,2,1.7745166666666667,Forward,0.08945362063337159,19820.0,19817.387017837827,ok,0.0004820743353798015,14466.341564489174,ok,-119.82799568148766,68.96507059496187,-0.16959876246421368,-69.17581075384805,61.391459089433745,-0.09790810427553352,1.2560026566024527,-0.046625923391233615,0.012205692657117018
13,2,1.9103666666666668,Forward,0.08947664471029448,19820.0,19817.242707201734,ok,0.0004842592670545225,14466.242727276836,ok,-119.97230631758066,68.96486634465164,-0.16980301277444046,-69.27464796618551,61.39131920001306,-0.09804799369621951,1.2560026566024527,-0.046654472217448215,0.012205692657117018
14,2,2.0468166666666665,Forward,0.08946413042869414,19825.0,19818.112346189533,ok,0.00047954664341058243,14466.645314147512,ok,-119.10266732978198,68.9660971897082,-0.16857216771788683,-68.87206109550971,61.39188900204189,-0.09747819166738106,1.2560026566024527,-0.046139300022853144,0.012205692657117018
15,2,2.1837,Forward,0.08944462308426815,19805.0,19818.454460567456,ok,0.0004850739394709148,14466.675466716593,ok,-118.7605529518587,68.96658140188904,-0.16808795553702693,-68.8419085264286,61.39193167853308,-0.09743551517619725,1.2560026566024527,-0.045708689628294594,0.012205692657117018
16,2,2.3187166666666665,Forward,0.08943347641653118,19805.0,19818.336837804352,ok,0.0004807893340871238,14466.546188366163,ok,-118.87817571496271,68.96641492430636,-0.16825443311972044,-68.97118687685906,61.391748704194555,-0.0976184895147208,1.2560026566024527,-0.04564535095571244,0.012205692657117018
17,2,2.4539833333333334,Forward,0.08947664133451652,19810.0,19818.590754167875,ok,0.0004866224485036515,14466.551922839606,ok,-118.62425935143983,68.96677430527387,-0.16789505215220965,-68.96545240341584,61.39175682049154,-0.09761037321774176,1.2560026566024527,-0.0452961640787691,0.012205692657117018
18,2,2.5890166666666667,Forward,0.08953789049949956,19810.0,19818.978665926534,ok,0.00047387207886597025,14466.027179577373,ok,-118.23634759278139,68.96732333685735,-0.16734602056873343,-69.49019566564857,61.39101412420108,-0.0983530695082035,1.2560026566024527,-0.04381430398142416,0.012205692657117018
19,2,2.7235833333333335,Forward,0.08942269015814786,19805.0,19819.436318359647,ok,0.00047950361570016386,14466.24635154232,ok,-117.77869515966813,68.96797107602592,-0.16669828140015835,-69.27102370070133,61.39132432962353,-0.09804286408575191,1.2560026566024527,-0.043556183647540755,0.012205692657117018
20,2,2.8588833333333334,Forward,0.08941506226396229,19820.0,19818.45607828852,ok,0.00048552962860332635,14466.682579815833,ok,-118.75893523079503,68.96658369153337,-0.16808566589270094,-68.83479542718851,61.391941746070486,-0.09742544763879464,1.2560026566024527,-0.04571904483769172,0.012205692657117018
21,2,2.9933833333333335,Forward,0.08942967831075121,19820.0,19819.207322259772,ok,0.00047962181875625735,14466.249032050453,ok,-118.00769125954321,68.96764696599698,-0.16702239142909664,-69.26834319256886,61.39132812348538,-0.09803907022389637,1.2560026566024527,-0.04388505877704839,0.012205692657117018
22,2,3.127883333333333,Forward,0.08942863179523472,19820.0,19818.650930586584,ok,0.00048228717319180603,14466.710314118216,ok,-118.56408293273125,68.96685947607293,-0.16780988135314504,-68.80706112480584,61.391980999863684,-0.09738619384559583,1.2560026566024527,-0.04549256316667524,0.012205692657117018
23,2,3.2629333333333332,Forward,0.08935397816136778,19805.0,19819.307758718423,ok,0.0004896944200390068,14466.835993130677,ok,-117.90725480089168,68.96778911891373,-0.16688023851235367,-68.68138211234509,61.39215887987294,-0.09720831383633886,1.2560026566024527,-0.0447863380900671,0.012205692657117018
