scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,0,0.14448333333333332,Forward,0.10315902610548275,469.06363359829993,19855.0,19863.12624159238,ok,0.0005255286635390886,14343.681434259875,ok,-96.82493579459333,68.9621731852977,-0.13781449995849515,-64.05861418996028,61.106143951416016,-0.09117698669433565,1.5934355051406113,0.007470147891992351,0.011382457714584297
1,0,0.28031666666666666,Forward,0.10343077994856123,470.03257244188353,19865.0,19862.47206653132,ok,0.0005270624797526219,14343.182934072049,ok,-97.47911085565283,68.96124207382124,-0.13874561143494882,-64.557114377787,61.10543441772461,-0.09188652038574235,1.5934355051406113,0.007669632591519621,0.011382457714584297
2,0,0.4159,Forward,0.10365821453052954,470.3892785399221,19850.0,19862.395004381822,ok,0.0005234121014766579,14342.778237683007,ok,-97.55617300515223,68.96113238842345,-0.1388552968327426,-64.96181076682842,61.1048583984375,-0.09246253967285109,1.5934355051406113,0.008477796777450697,0.011382457714584297
3,0,0.5517166666666666,Forward,0.10365544067864256,469.9860226342171,19865.0,19862.12344806856,ok,0.0005198700524610066,14342.729995729345,ok,-97.82772931841464,68.96074587231357,-0.13924181294262386,-65.01005272049042,61.10478973388672,-0.09253120422363431,1.5934355051406113,0.00820069320073194,0.011382457714584297
4,0,0.6867666666666666,Forward,0.1036413191979351,470.4220668758462,19835.0,19862.084430593306,ok,0.0005210576372469291,14342.681753775685,ok,-97.86674679366843,68.9606903373029,-0.13929734795328633,-65.0582946741506,61.10472106933594,-0.09259986877441494,1.5934355051406113,0.008254570723227855,0.011382457714584297
5,0,0.82235,Forward,0.10379735066945908,470.41143643528267,19850.0,19861.938832297325,ok,0.0005215784986393061,14342.338699882988,ok,-98.0123450896499,68.96048310188166,-0.13950458337452185,-65.40134856684745,61.10423278808594,-0.09308815002441367,1.5934355051406113,0.00882537998223476,0.011382457714584297
6,0,0.9581833333333334,Forward,0.10378973342748485,470.3969378887814,19850.0,19861.966602914115,ok,0.0005272130601702684,14342.17521326225,ok,-97.9845744728591,68.96052262882414,-0.13946505643205442,-65.56483518758614,61.104000091552734,-0.09332084655761669,1.5934355051406113,0.00923569384263101,0.011382457714584297
7,0,1.0948333333333333,Forward,0.10381622952367844,470.53421568244084,19855.0,19861.87073682392,ok,0.0005323741805571633,14342.164492828102,ok,-98.08044056305516,68.96038617908447,-0.13960150617173073,-65.57555562173366,61.10398483276367,-0.0933361053466802,1.5934355051406113,0.009123557999213938,0.011382457714584297
8,0,1.2304333333333333,Forward,0.10390547904830943,471.2037584781501,19855.0,19861.6335049639,ok,0.0005251996557513396,14342.17521326225,ok,-98.31767242307615,68.96004851823403,-0.1399391670221585,-65.56483518758614,61.104000091552734,-0.09332084655761669,1.5934355051406113,0.008761583252526933,0.011382457714584297
9,0,1.3668,Forward,0.10398106964200773,471.05759447467426,19855.0,19861.731967919997,ok,0.0005251863237074826,14342.17521326225,ok,-98.21920946697719,68.96018866418866,-0.13979902106752548,-65.56483518758614,61.104000091552734,-0.09332084655761669,1.5934355051406113,0.008901729207159953,0.011382457714584297
10,0,1.5034,Forward,0.1039695597395905,470.51330961784697,19855.0,19861.519169388434,ok,0.0005321875926550447,14342.17521326225,ok,-98.43200799854094,68.95988578019521,-0.14010190506097914,-65.56483518758614,61.104000091552734,-0.09332084655761669,1.5934355051406113,0.008598845213706297,0.011382457714584297
11,0,1.63895,Forward,0.10402328018178081,470.69576330538985,19855.0,19861.704296072636,ok,0.0005240153744880824,14342.164492828102,ok,-98.24688131433868,68.96014927782836,-0.13983840742782364,-65.57555562173366,61.10398483276367,-0.0933361053466802,1.5934355051406113,0.00888665674312103,0.011382457714584297
12,0,1.7745166666666667,Forward,0.10397968956260958,470.9595547092431,19855.0,19861.45689865461,ok,0.0005276494730449745,14342.159132611028,ok,-98.49427873236345,68.95979714796454,-0.14019053729164754,-65.58091583880741,61.10397720336914,-0.09334373474121196,1.5934355051406113,0.008546683827426765,0.011382457714584297
13,0,1.9103666666666668,Forward,0.10398237955101464,471.04871622844075,19855.0,19861.210114634658,ok,0.0005228310001560213,14342.143051959809,ok,-98.7410627523168,68.9594458911728,-0.1405417940833873,-65.59699649002687,61.10395431518555,-0.09336662292480465,1.5934355051406113,0.008231897880071781,0.011382457714584297
14,0,2.0468166666666665,Forward,0.10403690779177815,470.51005251827155,19850.0,19861.183376457,ok,0.0005258281128622993,14342.124291200053,ok,-98.76780092997433,68.95940783373901,-0.14057985151718194,-65.6157572497832,61.10392761230469,-0.0933933258056632,1.5934355051406113,0.008236389764726681,0.011382457714584297
15,0,2.1837,Forward,0.10394163091915588,470.91971756246494,19855.0,19861.440979164363,ok,0.0005267943171159041,14342.124291200053,ok,-98.5101982226115,68.9597744891673,-0.14021319608888944,-65.6157572497832,61.10392761230469,-0.0933933258056632,1.5934355051406113,0.008603045193019188,0.011382457714584297
16,0,2.3187166666666665,Forward,0.10410307326706192,470.8131818715956,19850.0,19861.23736945707,ok,0.0005300278762952378,14342.116250874442,ok,-98.71380792990385,68.95948468396612,-0.1405030012900694,-65.62379757539384,61.10391616821289,-0.09340476989746083,1.5934355051406113,0.008331475414033646,0.011382457714584297
17,0,2.4539833333333334,Forward,0.10405940680857938,470.6740738316621,19840.0,19861.197603862605,ok,0.0005298365546772999,14342.116250874442,ok,-98.75357352436913,68.95942808412981,-0.14055960112638027,-65.62379757539384,61.10391616821289,-0.09340476989746083,1.5934355051406113,0.008274875577722773,0.011382457714584297
18,0,2.5890166666666667,Forward,0.1041699886765291,470.96176922005907,19855.0,19861.125916786415,ok,0.0005126143394782467,14341.942043819556,ok,-98.82526060055898,68.95932604927198,-0.1406616359842143,-65.79800463028005,61.103668212890625,-0.09365272521972737,1.5934355051406113,0.008567941534076834,0.011382457714584297
19,0,2.7235833333333335,Forward,0.10417916935793214,470.5116808133571,19865.0,19860.99599233147,ok,0.000523201856279691,14341.861640563455,ok,-98.95518505550353,68.9591411230064,-0.14084656224978445,-65.87840788638096,61.103553771972656,-0.09376716613769594,1.5934355051406113,0.008565369490438707,0.011382457714584297
20,0,2.8588833333333334,Forward,0.10411821541520269,471.58143443346125,19855.0,19861.09148893087,ok,0.0005405366225764536,14341.797317958573,ok,-98.85968845610478,68.9592770468362,-0.1407106384199789,-65.94273049126241,61.10346221923828,-0.09385871887207184,1.5934355051406113,0.008847176697791503,0.011382457714584297
21,0,2.9933833333333335,Forward,0.1041714420768011,470.94432670499737,19845.0,19860.84868575974,ok,0.0005237391182638065,14341.797317958573,ok,-99.10249162723267,68.95893145613334,-0.14105622912285648,-65.94273049126241,61.10346221923828,-0.09385871887207184,1.5934355051406113,0.008501585994913935,0.011382457714584297
22,0,3.127883333333333,Forward,0.10419050396833054,470.8875807986915,19840.0,19860.97940469131,ok,0.0005345303232677755,14341.797317958573,ok,-98.971772695666,68.95911751320676,-0.1408701720494267,-65.94273049126241,61.10346221923828,-0.09385871887207184,1.5934355051406113,0.008687643068343714,0.011382457714584297
23,0,3.2629333333333332,Forward,0.10426494600108077,470.7946537890639,19865.0,19860.8446961855,ok,0.0005329773208540214,14341.861640563455,ok,-99.1064812014738,68.95892577762527,-0.14106190763092444,-65.87840788638096,61.103553771972656,-0.09376716613769594,1.5934355051406113,0.00835002410929872,0.011382457714584297
24,0,3.3979833333333334,Forward,0.10424201152475734,470.90027302366434,19855.0,19860.816482034377,ok,0.0005249659616966436,14341.861640563455,ok,-99.13469535259719,68.95888561938403,-0.1411020658721555,-65.87840788638096,61.103553771972656,-0.09376716613769594,1.5934355051406113,0.008309865868067645,0.011382457714584297
25,0,3.5335833333333335,Forward,0.10421974994741351,471.2464955715732,19855.0,19860.82481768974,ok,0.0005226215958061107,14341.891121757359,ok,-99.12635969723488,68.95889748382956,-0.14109020142663684,-65.84892669247711,61.10359573364258,-0.09372520446777387,1.5934355051406113,0.008254867098877489,0.011382457714584297
26,0,3.668083333333333,Forward,0.1042872725183086,471.3226747988592,19855.0,19860.807806215587,ok,0.0005281267826129743,14341.891121757359,ok,-99.14337117138712,68.95887327077138,-0.14111441448481868,-65.84892669247711,61.10359573364258,-0.09372520446777387,1.5934355051406113,0.008230654040695645,0.011382457714584297
27,0,3.803383333333333,Forward,0.104090985536681,471.0654302140174,19845.0,19860.811276398403,ok,0.0005257266281544967,14341.65527220613,ok,-99.13990098857175,68.95887821001048,-0.14110947524571113,-66.08477624370607,61.1032600402832,-0.09406089782714784,1.5934355051406113,0.008770498997469622,0.011382457714584297
28,0,3.9384166666666665,Forward,0.10428654733008764,471.4997504158491,19855.0,19860.73627003812,ok,0.0005307662878934585,14341.65527220613,ok,-99.21490734885447,68.95877145069325,-0.14121623456293905,-66.08477624370607,61.1032600402832,-0.09406089782714784,1.5934355051406113,0.0086637396802417,0.011382457714584297
