scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,4,0.14448333333333332,Forward,0.31108333916689396,387.8174587889007,17650.0,17664.69621422991,ok,0.0005807951823457097,4.837114551776295e-11,14483.086984519261,ok,-89.83950849309986,65.89564913642273,-0.13040034404746084,-67.32820538186024,61.27760363352786,-0.0977256141886284,1.1543942747104796,-0.017586454535543,0.006507250918156904
1,4,0.28031666666666666,Forward,0.3112497955424244,387.9345437446318,17650.0,17664.295918112133,ok,0.00057518452223643,0.0021288117429949507,14482.451886905203,ok,-90.23980461087558,65.8950681141937,-0.1309813662764819,-67.96330299591864,61.27668180137666,-0.0986474463398283,1.1543942747104796,-0.017103319006974857,0.006507250918156904
2,4,0.4159,Forward,0.3112915784471245,387.9162311050459,17650.0,17664.174575800513,ok,0.0005719263780920876,0.0015440498069689685,14482.435493930994,ok,-90.36114692249612,65.89489198812792,-0.13115749234226562,-67.97969597012707,61.276658007285256,-0.09867124043123192,1.1543942747104796,-0.017251977309870298,0.006507250918156904
3,4,0.5517166666666666,Forward,0.3111138076622794,388.1898101595543,17650.0,17664.25338830087,ok,0.0005816686961915114,0.0010314092057951009,14481.589512783567,ok,-90.28233442213968,65.89500638297864,-0.13104309749155796,-68.82567711755473,61.27543008168178,-0.09989916603470632,1.1543942747104796,-0.01572007217274138,0.006507250918156904
4,4,0.6867666666666666,Forward,0.31124001216774944,388.18014706715985,17645.0,17664.204959409555,ok,0.0005809037093690303,0.0011780602854839428,14481.553170869822,ok,-90.33076331345364,65.89493608936066,-0.13111339110953407,-68.8620190312995,61.27537733208269,-0.09995191563379861,1.1543942747104796,-0.01572947195553208,0.006507250918156904
5,4,0.82235,Forward,0.31141831621834115,388.2402313409548,17655.0,17664.08119542558,ok,0.0005786237616161017,0.001816810749936237,14481.843504099194,ok,-90.45452729742829,65.89475644828335,-0.13129303218684715,-68.57168580192774,61.275798745263074,-0.09953050245341157,1.1543942747104796,-0.016395589995571502,0.006507250918156904
6,4,0.9581833333333334,Forward,0.31136991688631077,388.1253601995668,17650.0,17664.058246922603,ok,0.0005803506354372887,0.0011575686334155395,14482.167509338913,ok,-90.47747580040595,65.89472313896616,-0.13132634150402683,-68.24768056220819,61.27626903272837,-0.0990602149881161,1.1543942747104796,-0.01697179647015637,0.006507250918156904
7,4,1.0948333333333333,Forward,0.3113133237813136,388.16762693740384,17650.0,17664.110977651955,ok,0.000589693514189643,0.0012297719435681988,14482.141295500007,ok,-90.42474507105362,65.89479967662052,-0.13124980384966126,-68.27389440111438,61.276230983837976,-0.0990982638785153,1.1543942747104796,-0.01685133539455487,0.006507250918156904
8,4,1.2304333333333333,Forward,0.3112516798792608,388.0189408401384,17655.0,17664.164024108304,ok,0.0005898811553254242,0.0010919800769358206,14481.45705805889,ok,-90.37169861470466,65.89487667254664,-0.13117280792354336,-68.95813184223152,61.275237826159035,-0.1000914215574521,1.1543942747104796,-0.015627843929987575,0.006507250918156904
9,4,1.3668,Forward,0.311229276633718,388.00288897170685,17660.0,17664.12644935331,ok,0.0005760182347154701,0.0007570293642850097,14481.140000107735,ok,-90.4092733696998,65.89482213350185,-0.13122734696834726,-69.27518979338674,61.27477762255144,-0.10055162516505309,1.1543942747104796,-0.01515112656497579,0.006507250918156904
10,4,1.5034,Forward,0.3112830565709499,388.06856120096563,17650.0,17664.130450180928,ok,0.0005881815719726884,0.0014538704189936418,14481.534146352695,ok,-90.40527254208064,65.89482794062732,-0.1312215398428769,-68.88104354842653,61.27534971835661,-0.09997952935987875,1.1543942747104796,-0.015805743561584568,0.006507250918156904
11,4,1.63895,Forward,0.31112984305563235,388.0657992385386,17660.0,17664.204951208452,ok,0.0005855878777345738,0.0012514667625402344,14481.974716600227,ok,-90.33077151455655,65.89493607745692,-0.13111340301327953,-68.44047330089415,61.27598919772174,-0.09934004999474276,1.1543942747104796,-0.016435818049895676,0.006507250918156904
12,4,1.7745166666666667,Forward,0.31129995310917935,387.7938723287225,17650.0,17664.168440789857,ok,0.0005863316676219205,0.001661977638190629,14481.603669409742,ok,-90.36728193315139,65.89488308327623,-0.13116639719396841,-68.81152049137927,61.27545062975639,-0.09987861796009198,1.1543942747104796,-0.015867092454842954,0.006507250918156904
13,4,1.9103666666666668,Forward,0.31150546732798723,388.0322385723339,17650.0,17664.056987093718,ok,0.0005855960443351532,0.0020390376302517727,14481.377762012151,ok,-90.4787356292909,65.89472131034842,-0.13132817012177855,-69.03742788897034,61.27512272944992,-0.10020651826657022,1.1543942747104796,-0.015650339146178804,0.006507250918156904
14,4,2.0468166666666665,Forward,0.311408573206864,387.80646110431553,17650.0,17664.078557171997,ok,0.0005851618155069774,0.001128901390489246,14481.823169584013,ok,-90.45716555101171,65.89475261890826,-0.1312968615619265,-68.59202031710811,61.27576923009965,-0.0995600176168406,1.1543942747104796,-0.016365347234971225,0.006507250918156904
15,4,2.1837,Forward,0.3112510701348512,388.128543782459,17645.0,17664.075684850697,ok,0.0005858134951412048,0.0017134482390240772,14482.26705710189,ok,-90.46003787231166,65.89474844978832,-0.13130103068186058,-68.14813279923146,61.27641352441982,-0.09891572329666481,1.1543942747104796,-0.017113286029344713,0.006507250918156904
16,4,2.3187166666666665,Forward,0.3112341672152811,387.9897968833502,17655.0,17664.14206557265,ok,0.0005843370231407419,0.0011262835413187622,14482.055192279184,ok,-90.3936571503582,65.89484480014828,-0.1312046803219127,-68.35999762193751,61.27610600664467,-0.09922324107181543,1.1543942747104796,-0.016661938910391264,0.006507250918156904
17,4,2.4539833333333334,Forward,0.3112680731148175,387.9738046264829,17645.0,17664.17258424952,ok,0.0005739182739928628,0.0014005286809552649,14481.706569915834,ok,-90.3631384734872,65.8948890974294,-0.1311603830407877,-68.70861998528744,61.27559998789094,-0.09972925982554627,1.1543942747104796,-0.016033496477063244,0.006507250918156904
