scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,5,0.14448333333333332,Forward,0.4694333952961432,351.0310878835444,17020.0,17035.024349968975,ok,0.0006118223025092051,14462.283010040117,ok,-85.15630732986392,65.04668225018244,-0.12476118543987902,-68.21537838191398,61.27739880584101,-0.09994129312336733,,,0.0038989235312830157
1,5,0.28031666666666666,Forward,0.4696980071695159,351.18076031405144,17025.0,17034.554674139355,ok,0.000631416957672982,14462.030203541448,ok,-85.62598315948344,65.04599413540723,-0.12544930021508652,-68.46818488058307,61.277028422959816,-0.10031167600456349,,,0.0038989235312830157
2,5,0.4159,Forward,0.46960075563485926,351.26661191662424,17025.0,17034.566287584134,ok,0.0006160780773739878,14461.390222697286,ok,-85.61436971470539,65.0460111500851,-0.12543228553721963,-69.10816572474505,61.27609079694854,-0.10124930201583679,,,0.0038989235312830157
3,5,0.5517166666666666,Forward,0.46968858238234645,351.22415180059033,17025.0,17034.466929107748,ok,0.0006094672190563638,14461.443934081964,ok,-85.71372819109092,65.045865581522,-0.1255778541003249,-69.05445434006651,61.27616948866539,-0.1011706102989901,,,0.0038989235312830157
4,5,0.6867666666666666,Forward,0.46970217038053697,351.1701364654982,17025.0,17034.4778280033,ok,0.0006134921473349184,14461.546604887344,ok,-85.70282929554014,65.04588154932487,-0.12556188629745116,-68.95178353468691,61.27631991007034,-0.10102018889403641,,,0.0038989235312830157
5,5,0.82235,Forward,0.47001292951825735,351.3704725837815,17025.0,17034.426330338647,ok,0.0006182085863012188,14461.387437647556,ok,-85.75432696019197,65.04580610089491,-0.12563733472741254,-69.11095077447499,61.27608671661537,-0.1012533823490113,,,0.0038989235312830157
6,5,0.9581833333333334,Forward,0.4697959399975382,351.33851389843403,17020.0,17034.460484247564,ok,0.0006218260331459291,14461.351999430115,ok,-85.7201730512752,65.04585613925727,-0.12558729636504723,-69.14638899191596,61.2760347966325,-0.10130530233188097,,,0.0038989235312830157
7,5,1.0948333333333333,Forward,0.46976622191371864,351.4094274858144,17025.0,17034.499979025768,ok,0.000624964945524073,14460.965385911735,ok,-85.68067827307095,65.04591400244442,-0.1255294331779041,-69.53300251029577,61.27546837516152,-0.1018717238028509,,,0.0038989235312830157
8,5,1.2304333333333333,Forward,0.469682282864086,351.21688752021873,17025.0,17034.49869740727,ok,0.0006151701765863869,14461.427946915786,ok,-85.68195989156811,65.04591212476504,-0.12553131085729158,-69.0704415062446,61.27614606611611,-0.10119403284826149,,,0.0038989235312830157
9,5,1.3668,Forward,0.46971001677962143,351.22800211698996,17025.0,17034.500726860944,ok,0.0006188782424314716,14461.257779146923,ok,-85.67993043789465,65.04591509808614,-0.1255283375361832,-69.240609275108,61.275896755956566,-0.10144334300781101,,,0.0038989235312830157
