scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,5,0.14448333333333332,Forward,0.4694333952961432,17020.0,17023.099173185128,ok,0.0006118223025092051,3.493167830655021e-11,14462.283010024357,ok,-87.77194543648147,65.02921085858758,-0.12859331627194112,-68.6839214643569,61.277398805817924,-0.10062774832825071,,,0.0038989235312830157
1,5,0.28031666666666666,Forward,0.4696980071695159,17025.0,17022.60254126426,ok,0.000631416957672982,0.0025661785301575304,14460.924606998991,ok,-88.2685773573503,65.02848325086106,-0.12932092399845826,-70.04232448972289,61.27540863060878,-0.10261792353739044,,,0.0038989235312830157
2,5,0.4159,Forward,0.46960075563485926,17025.0,17022.701380958242,ok,0.0006160780773739878,0.001135666389969183,14460.88024615632,ok,-88.16973766336741,65.02862805936411,-0.12917611549540692,-70.08668533239506,61.27534363822604,-0.10268291592013261,,,0.0038989235312830157
3,5,0.5517166666666666,Forward,0.46968858238234645,17025.0,17022.539305883794,ok,0.0006094672190563638,0.0008707839361156659,14460.678761288686,ok,-88.3318127378152,65.02839060568567,-0.129413569173853,-70.28817020002862,61.27504844587068,-0.10297810827548905,,,0.0038989235312830157
4,5,0.6867666666666666,Forward,0.46970217038053697,17025.0,17022.578422279083,ok,0.0006134921473349184,0.00136465422440878,14460.695564864149,ok,-88.29269634252705,65.02844791450987,-0.12935626034965306,-70.27136662456542,61.27507306452854,-0.10295348961763325,,,0.0038989235312830157
5,5,0.82235,Forward,0.47001292951825735,17025.0,17022.50639833132,ok,0.0006182085863012188,0.0014972553955817996,14460.395886133589,ok,-88.36472029029028,65.0283423933408,-0.1294617815187215,-70.57104535512553,61.2746340098672,-0.10339254427897467,,,0.0038989235312830157
6,5,0.9581833333333334,Forward,0.4697959399975382,17020.0,17022.58150034415,ok,0.0006218260331459291,0.0015185554510718272,14460.528234552014,ok,-88.28961827746025,65.02845242413527,-0.12935175072425198,-70.43869693670058,61.274827911482845,-0.10319864266332769,,,0.0038989235312830157
7,5,1.0948333333333333,Forward,0.46976622191371864,17025.0,17022.62693997584,ok,0.000624964945524073,0.0018592763781365908,14460.46434952411,ok,-88.24417864577117,65.02851899703506,-0.1292851778244488,-70.50258196460345,61.274734314519065,-0.10329223962711039,,,0.0038989235312830157
8,5,1.2304333333333333,Forward,0.469682282864086,17025.0,17022.53469707096,ok,0.0006151701765863869,0.0016880085361234093,14460.55628765776,ok,-88.33642155064808,65.02838385338545,-0.12942032147407045,-70.41064383095363,61.27486901165308,-0.10315754249308778,,,0.0038989235312830157
9,5,1.3668,Forward,0.46971001677962143,17025.0,17022.457654195197,ok,0.0006188782424314716,0.0018482969133627517,14460.45526669648,ok,-88.41346442641225,65.0282709790628,-0.12953319579672987,-70.51166479223502,61.27472100740914,-0.10330554673703557,,,0.0038989235312830157
10,5,1.5034,Forward,0.46973717029517215,17025.0,17022.65989184149,ok,0.0006120935463492195,0.0023363948218816342,14460.762867554064,ok,-88.21122678012034,65.02856727430249,-0.1292369005570336,-70.20406393465055,61.27517166865594,-0.10285488549023085,,,0.0038989235312830157
11,5,1.63895,Forward,0.4696961233441611,17020.0,17022.545921092093,ok,0.0006183250115371517,0.0016266770034848847,14460.150486728287,ok,-88.32519752951703,65.02840029752477,-0.12940387733475042,-70.81644476042675,61.27427447900364,-0.10375207514253154,,,0.0038989235312830157
12,5,1.7745166666666667,Forward,0.4696185410012924,17020.0,17022.622662546983,ok,0.0006147510873155468,0.0014672492949831268,14460.558275993397,ok,-88.24845607462703,65.02851273024038,-0.12929144461913994,-70.40865549531736,61.27487192473279,-0.10315462941337811,,,0.0038989235312830157
13,5,1.9103666666666668,Forward,0.46972910205438045,17020.0,17022.649217045237,ok,0.0006216550046210982,0.0023668646783351253,14460.059293800105,ok,-88.22190157637306,65.02855163482401,-0.12925254003550066,-70.90763768860961,61.274140873658595,-0.10388568048757962,,,0.0038989235312830157
14,5,2.0468166666666665,Forward,0.46974799006777235,17020.0,17022.648977257708,ok,0.000618902272073703,0.0015232032890382273,14460.235329815501,ok,-88.22214136390176,65.02855128351503,-0.1292528913444908,-70.73160167321294,61.27439878129515,-0.10362777285102691,,,0.0038989235312830157
15,5,2.1837,Forward,0.4696469614760175,17020.0,17022.57038643578,ok,0.000629341825694505,0.0014537453788025384,14460.21514829539,ok,-88.3007321858313,65.02843614132044,-0.12936803353907475,-70.75178319332372,61.274369213662965,-0.10365734048320766,,,0.0038989235312830157
16,5,2.3187166666666665,Forward,0.46948709744434497,17020.0,17022.484599426025,ok,0.000620244460105145,0.0018327993108113645,14460.376364570619,ok,-88.3865191955847,65.02831045610266,-0.1294937187568557,-70.59056691809565,61.274605409127986,-0.10342114501818186,,,0.0038989235312830157
17,5,2.4539833333333334,Forward,0.4696987501670359,17020.0,17022.642121950783,ok,0.000619188468828278,0.0023451456846415204,14459.725438716243,ok,-88.22899667082675,65.02854123991115,-0.1292629349483686,-71.24149277247125,61.27365174775197,-0.1043748063942064,,,0.0038989235312830157
18,5,2.5890166666666667,Forward,0.4696385052058704,17020.0,17022.551740757153,ok,0.0006211269244721755,0.001753681434415716,14460.233352726496,ok,-88.31937786445633,65.02840882382581,-0.1293953510337094,-70.7335787622178,61.2743958846927,-0.10363066945347131,,,0.0038989235312830157
19,5,2.7235833333333335,Forward,0.4696315150950236,17020.0,17022.67759868155,ok,0.0006179020483642703,0.001900806919688398,14460.030863646109,ok,-88.19351994006138,65.0285932163193,-0.12921095854022455,-70.93606784260555,61.27409922108081,-0.10392733306536264,,,0.0038989235312830157
20,5,2.8588833333333334,Forward,0.46954748951733377,17020.0,17022.620072271544,ok,0.0006179783331089842,0.001516963242374041,14460.518734780399,ok,-88.25104635006574,65.028508935268,-0.1292952395915205,-70.44819670831566,61.274813993514755,-0.103212560631418,,,0.0038989235312830157
21,5,2.9933833333333335,Forward,0.4695383956830549,17025.0,17022.757277422512,ok,0.0006152542836768268,0.001477136130009023,14460.618114361263,ok,-88.1138411990978,65.02870995240718,-0.12909422245233307,-70.34881712745118,61.2749595929977,-0.10306696114846788,,,0.0038989235312830157
22,5,3.127883333333333,Forward,0.46933758221797384,17025.0,17022.685863233713,ok,0.0006325496335571415,0.002686919337996728,14460.264792106731,ok,-88.18525538789618,65.02860532458652,-0.129198850272997,-70.70213938198322,61.274441946041186,-0.10358460810498694,,,0.0038989235312830157
