scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
19,6,2.7235833333333335,Forward,0.6115481223632077,16235.0,16234.90705950645,ok,0.0005331502885900029,0.001496835940883155,14454.159465906601,ok,-82.23744640830773,63.90460366694208,-0.11949230782943049,-71.02158244646671,61.31714930260697,-0.1031954804395429,,,0.0032809664999374553
20,6,2.8588833333333334,Forward,0.6114399018689738,16235.0,16235.037642354604,ok,0.000524687515901804,0.0013224897600486634,14454.612684774664,ok,-82.10686356015322,63.904793405881826,-0.11930256888968459,-70.56836357840439,61.317807836776765,-0.10253694626974724,,,0.0032809664999374553
21,6,2.9933833333333335,Forward,0.6114866630864934,16235.0,16234.983077161585,ok,0.0005269020378403371,0.0016315968346369866,14454.399814207158,ok,-82.161428753172,63.90471412179501,-0.11938185297650558,-70.78123414591028,61.31749853248181,-0.10284625056470247,,,0.0032809664999374553
22,6,3.127883333333333,Forward,0.6113379058708419,16235.0,16234.983537755077,ok,0.0005236869628432219,0.001292414204682588,14454.97964314445,ok,-82.16096815968012,63.90471479104462,-0.11938118372689097,-70.20140520861787,61.318341033080856,-0.10200374996565229,,,0.0032809664999374553
23,6,3.2629333333333332,Forward,0.6114874186713296,16235.0,16235.011707823314,ok,0.0005241963631856768,0.0014997830203908442,14454.97761200173,ok,-82.13279809144296,63.90475572259846,-0.11934025217305042,-70.20343635133759,61.31833808179843,-0.1020067012480876,,,0.0032809664999374553
24,6,3.3979833333333334,Forward,0.6114457684546745,16235.0,16235.087779964706,ok,0.0005252877392008565,0.0010184625654859995,14454.735616321137,ok,-82.05672595005126,63.90486625662078,-0.11922971815073545,-70.44543203193098,61.31798645825438,-0.10235832479212723,,,0.0032809664999374553
25,6,3.5335833333333335,Forward,0.6113583731637575,16230.0,16235.033801797035,ok,0.0005375406850655658,0.0017815728200183184,14454.947955787819,ok,-82.11070411772198,63.904787825491056,-0.11930814928045894,-70.23309256524954,61.318294990851456,-0.10204979219505388,,,0.0032809664999374553
26,6,3.668083333333333,Forward,0.6115050065377043,16235.0,16234.990381345066,ok,0.0005227662772125072,0.0019836849534731952,14454.455844947894,ok,-82.1541245696917,63.9047247348889,-0.11937123988260506,-70.7252034051744,61.317579946032595,-0.10276483701391344,,,0.0032809664999374553
27,6,3.803383333333333,Forward,0.6116437232739773,16235.0,16235.052036552059,ok,0.0005280500489257632,0.0013287404062083533,14454.415851677051,ok,-82.09246936269847,63.90481432087795,-0.11928165389355641,-70.76519667601679,61.31752183517873,-0.10282294786778014,,,0.0032809664999374553
28,6,3.9384166666666665,Forward,0.6114684741075683,16235.0,16235.089889912702,ok,0.0005202467931101006,0.0010103864177858945,14454.694501335734,ok,-82.0546160020549,63.90486932240852,-0.11922665236298916,-70.48654701733358,61.317926717531556,-0.10241806551495729,,,0.0032809664999374553
29,6,4.072666666666667,Forward,0.6113540008444832,16230.0,16235.0476560604,ok,0.0005143565651056026,0.0016412683199178003,14454.574766992166,ok,-82.09684985435706,63.904807955954425,-0.11928801881708667,-70.60628136090236,61.31775274164023,-0.1025920414062859,,,0.0032809664999374553
30,6,4.2077,Forward,0.6116074956186212,16230.0,16235.07707468903,ok,0.0005286401247925802,0.0012111640982020338,14454.545218482088,ok,-82.06743122572698,63.90485070168623,-0.11924527308528547,-70.63582987098016,61.317709807188635,-0.10263497585788095,,,0.0032809664999374553
31,6,4.3422,Forward,0.6112317489170789,16230.0,16235.027030920559,ok,0.0005326132564437144,0.002034735581683518,14453.940931369347,ok,-82.11747499419835,63.90477798730065,-0.11931798747086397,-71.24011698372124,61.31683176847456,-0.10351301457195416,,,0.0032809664999374553
32,6,4.478316666666666,Forward,0.6114236958259056,16230.0,16235.100697080397,ok,0.000528680864693871,0.0008878667257740808,14454.922553514496,ok,-82.04380883435988,63.90488502539378,-0.11921094937772662,-70.258494838572,61.31825808094732,-0.10208670209919105,,,0.0032809664999374553
33,6,4.6134,Forward,0.611462864470691,16230.0,16235.069422866352,ok,0.0005303870589102123,0.001483822774495665,14454.373326499925,ok,-82.07508304840485,63.90483958346708,-0.11925639130442789,-70.80772185314345,61.317460045425065,-0.10288473762144651,,,0.0032809664999374553
34,6,4.748683333333333,Forward,0.6113963097908626,16235.0,16235.19271685402,ok,0.0005267042951178581,0.0006665138916488612,14454.57801129329,ok,-81.9517890607367,63.905018731577485,-0.11907724319403043,-70.60303705977822,61.317757455660974,-0.10258732738553808,,,0.0032809664999374553
35,6,4.884,Forward,0.6114127916442436,16230.0,16235.154489400229,ok,0.0005292725569898589,0.0016395758555162031,14454.72571304381,ok,-81.99001651452818,63.90496318648366,-0.11913278828784703,-70.45533530925786,61.317972068636095,-0.10237271441041607,,,0.0032809664999374553
36,6,5.019033333333334,Forward,0.6115541734573368,16230.0,16235.104987646186,ok,0.0005177940218824293,0.0019536099611651963,14454.314619661325,ok,-82.03951826857156,63.90489125965361,-0.11920471511790544,-70.86642869174284,61.31737474346184,-0.10297003958467603,,,0.0032809664999374553
37,6,5.1538,Forward,0.6113484807753247,16235.0,16235.222156421265,ok,0.0005290392774738245,0.0008681814263585881,14454.347754964294,ok,-81.92234949349222,63.90506150773342,-0.11903446703809197,-70.83329338877411,61.31742288958012,-0.10292189346638944,,,0.0032809664999374553
38,6,5.288833333333334,Forward,0.6113543379546368,16235.0,16235.148556216142,ok,0.0005273236100525083,0.001396098656737247,14454.427888995533,ok,-81.99594969861573,63.904954565473524,-0.11914140929798733,-70.75315935753497,61.317539325592506,-0.10280545745400527,,,0.0032809664999374553
39,6,5.42335,Forward,0.6113321849307178,16235.0,16235.224434203348,ok,0.0005224668479975644,0.0016274843209353215,14454.216447198105,ok,-81.92007171140904,63.905064817386744,-0.11903115738476809,-70.96460115496302,61.31723209732303,-0.10311268572348287,,,0.0032809664999374553
40,6,5.5584,Forward,0.6113020422928928,16230.0,16235.206987494483,ok,0.0005268377244625429,0.001690154233162242,14454.459849779509,ok,-81.9375184202745,63.90503946704335,-0.1190565077281629,-70.72119857355938,61.317585765116156,-0.10275901793035665,,,0.0032809664999374553
41,6,5.6931666666666665,Forward,0.6113035579489885,16235.0,16235.263074445951,ok,0.0005278677204861359,0.0010046658513357578,14454.16476583282,ok,-81.88143146880611,63.90512096226922,-0.1189750125022922,-71.01628252024784,61.31715700348343,-0.10318777956308238,,,0.0032809664999374553
42,6,5.828,Forward,0.6114080828578213,16235.0,16235.265960177332,ok,0.0005238064199073056,0.0011889864466656703,14454.666168206557,ok,-81.87854573742516,63.90512515528247,-0.11897081948904159,-70.51488014651113,61.317885549047595,-0.10245923399891829,,,0.0032809664999374553
43,6,5.964666666666667,Forward,0.6113279656028688,16235.0,16235.272944212913,ok,0.0005300598078437043,0.0009263896756074681,14455.071078326904,ok,-81.87156170184426,63.90513530319642,-0.11896067157509274,-70.10997002616386,61.318473889844356,-0.10187089320215324,,,0.0032809664999374553
44,6,6.099966666666667,Forward,0.6113789862971,16230.0,16235.30707402059,ok,0.0005242965364932788,0.0010664691852432262,14454.831926048872,ok,-81.83743189416782,63.905184894345744,-0.11891108042576663,-70.3491223041965,61.318126397809124,-0.10221838523738622,,,0.0032809664999374553
45,6,6.235283333333333,Forward,0.6113197796921034,16235.0,16235.418935823644,ok,0.0005382468256169079,0.0016319714106762294,14454.372550200169,ok,-81.7255700911137,63.90534743131143,-0.11874854346008153,-70.80849815289912,61.317458917449265,-0.10288586559724615,,,0.0032809664999374553
46,6,6.370866666666666,Forward,0.6114144823877655,16230.0,16235.296466896918,ok,0.0005259052005403082,0.0012569121633226967,14454.554396947662,ok,-81.84803901783926,63.9051694820276,-0.118926492743905,-70.62665140540594,61.317723143644,-0.1026216394025106,,,0.0032809664999374553
47,6,6.504833333333333,Forward,0.6110513088125529,16235.0,16235.485951442397,ok,0.0005303227700559756,0.0008890779734137871,14454.209449409149,ok,-81.65855447236027,63.905444806063386,-0.11865116870812599,-70.97159894391916,61.31722192942521,-0.10312285362130305,,,0.0032809664999374553
48,6,6.6406833333333335,Forward,0.6112025748839587,16235.0,16235.420648906,ok,0.0005207156039597942,0.0020116437326492768,14454.347664426245,ok,-81.72385700875748,63.90534992044714,-0.11874605432437527,-70.83338392682344,61.31742275802691,-0.10292202501960436,,,0.0032809664999374553
49,6,6.77545,Forward,0.6111004859131031,16235.0,16235.511042577802,ok,0.0005343899652307659,0.0019642276264750097,14454.672767353175,ok,-81.63346333695517,63.90548126387922,-0.1186147108922944,-70.50828099989303,61.3178951377118,-0.10244964533470824,,,0.0032809664999374553
50,6,6.911016666666667,Forward,0.6113784460167498,16235.0,16235.511577554229,ok,0.000518846976030173,0.0016028812578837283,14454.803956569875,ok,-81.63292836052824,63.905482041208415,-0.11861393356310093,-70.37709178319346,61.31808575771462,-0.10225902533189425,,,0.0032809664999374553
51,6,7.045833333333333,Forward,0.6111263446838555,16230.0,16235.570679546807,ok,0.0005346485979001168,0.0014741615595235806,14454.169709647467,ok,-81.57382636795046,63.90556791733661,-0.11852805743490293,-71.01133870560079,61.31716418692416,-0.10318059612235729,,,0.0032809664999374553
52,6,7.181966666666667,Forward,0.6111719880025256,16235.0,16235.588957430879,ok,0.0005306831399378614,0.001132589261610191,14454.743595896858,ok,-81.55554848387874,63.9055944753907,-0.11850149938081252,-70.43745245620994,61.31799805270387,-0.10234673034263919,,,0.0032809664999374553
53,6,7.3167333333333335,Forward,0.6111887242862923,16240.0,16235.593209306848,ok,0.0005296364564795684,0.0016486490537920835,14454.437928481431,ok,-81.55129660790953,63.9056006534336,-0.11849532133790927,-70.74311987163674,61.317553913124,-0.10279086992251207,,,0.0032809664999374553
54,6,7.451233333333334,Forward,0.6110804770293976,16235.0,16235.872563226478,ok,0.000527221012330771,0.00122701378182755,14454.320785383741,ok,-81.27194268827952,63.906006559088695,-0.11808941568281325,-70.86026296932687,61.31738370235384,-0.10296108069267369,,,0.0032809664999374553
