scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,6,0.14448333333333332,Forward,0.6110405250092811,287.6106407638272,16230.0,16247.142786569972,ok,0.0005367560272466369,1.4868313952083416e-11,14456.746040189486,ok,-79.4699183837165,63.92238237151824,-0.11547104592157506,-68.4350081635821,61.32090763587159,-0.09943714717491817,,,0.0032809664999374553
1,6,0.28031666666666666,Forward,0.6116776154706809,287.8513519589105,16235.0,16246.628933953292,ok,0.0005273954850639741,0.0011707319930378177,14455.648192364577,ok,-79.98377100039579,63.921635735554545,-0.11621768188527391,-69.53285598849106,61.319312445651406,-0.1010323373951077,,,0.0032809664999374553
2,6,0.4159,Forward,0.6117608478915643,287.81415394661235,16235.0,16246.533947041044,ok,0.0005353835150488192,0.0013695894906431121,14455.588908934431,ok,-80.0787579126445,63.921497718071585,-0.11635569936823219,-69.59213941863709,61.319226305891554,-0.10111847715495653,,,0.0032809664999374553
3,6,0.5517166666666666,Forward,0.6116463737906241,287.86250334490614,16235.0,16246.469942268579,ok,0.0005265609160383393,0.0013442836013103816,14454.843914754114,ok,-80.14276268510912,63.921404718126816,-0.11644869931300092,-70.3371335989541,61.3181438175871,-0.10220096545941562,,,0.0032809664999374553
4,6,0.6867666666666666,Forward,0.6117025992524576,287.8800025029341,16230.0,16246.420175618274,ok,0.0005297585737329658,0.001145236926736587,14455.170199273356,ok,-80.19252933541429,63.92133240639831,-0.11652101104150936,-70.01084907971199,61.31861791414427,-0.10172686890223802,,,0.0032809664999374553
5,6,0.82235,Forward,0.6117199178116416,287.81838549519125,16235.0,16246.336720562904,ok,0.0005306056392038886,0.0015526455835028672,14454.717916575695,ok,-80.27598439078429,63.92121114488543,-0.11664227255438127,-70.46313177737284,61.31796074024485,-0.10238404280166197,,,0.0032809664999374553
6,6,0.9581833333333334,Forward,0.6117388706029481,287.8145643586304,16230.0,16246.357335173678,ok,0.000526569263403388,0.001034953950927183,14455.050468795756,ok,-80.25536978001037,63.921241098240316,-0.11661231919950506,-70.13057955731165,61.318443943870264,-0.10190083917625249,,,0.0032809664999374553
7,6,1.0948333333333333,Forward,0.6115476396123489,287.85237461340694,16230.0,16246.384002140274,ok,0.0005401404419824514,0.0007541123138039008,14455.094957394382,ok,-80.2287028134142,63.92127984576374,-0.1165735716760768,-70.08609095868633,61.318508586506354,-0.10183619654015405,,,0.0032809664999374553
8,6,1.2304333333333333,Forward,0.6116828969702515,287.9186184097289,16235.0,16246.330328881328,ok,0.0005289776670670774,0.0013635061080616085,14455.16335689337,ok,-80.28237607236042,63.92120185767121,-0.1166515597686103,-70.01769145969774,61.318607972058146,-0.10173681098837095,,,0.0032809664999374553
9,6,1.3668,Forward,0.6116028436553586,287.8214024066092,16235.0,16246.32693943521,ok,0.0005253654440878708,0.001027391910327424,14454.729128097866,ok,-80.285765518478,63.921196932752494,-0.11665648468732485,-70.45192025520191,61.31797703076355,-0.10236775228296281,,,0.0032809664999374553
