scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,6,0.14448333333333332,Forward,0.6110405250092811,287.6106407638272,16230.0,16247.142786569972,ok,0.0005367560272466369,14427.234278875541,ok,-79.4699183837165,63.92238237151824,-0.11547104592157506,-68.19006826011173,61.27802658081055,-0.09908124562856087,,,0.0032809664999374553
1,6,0.28031666666666666,Forward,0.6116776154706809,287.8513519589105,16235.0,16246.628933953292,ok,0.0005273954850639741,14426.528055602292,ok,-79.98377100039579,63.921635735554545,-0.11621768188527391,-68.89629153336136,61.277000427246094,-0.10010739919301453,,,0.0032809664999374553
2,6,0.4159,Forward,0.6117608478915643,287.81415394661235,16235.0,16246.533947041044,ok,0.0005353835150488192,14425.884841096917,ok,-80.0787579126445,63.921497718071585,-0.11635569936823219,-69.53950603873636,61.276065826416016,-0.10104200002309163,,,0.0032809664999374553
3,6,0.5517166666666666,Forward,0.6116463737906241,287.86250334490614,16235.0,16246.469942268579,ok,0.0005265609160383393,14425.850711347652,ok,-80.14276268510912,63.921404718126816,-0.11644869931300092,-69.57363578800141,61.27601623535156,-0.10109159108754506,,,0.0032809664999374553
4,6,0.6867666666666666,Forward,0.6117025992524576,287.8800025029341,16230.0,16246.420175618274,ok,0.0005297585737329658,14425.819206963715,ok,-80.19252933541429,63.92133240639831,-0.11652101104150936,-69.60514017193782,61.275970458984375,-0.10113736745473204,,,0.0032809664999374553
5,6,0.82235,Forward,0.6117199178116416,287.81838549519125,16235.0,16246.336720562904,ok,0.0005306056392038886,14425.577673353533,ok,-80.27598439078429,63.92121114488543,-0.11664227255438127,-69.84667378211998,61.27561950683594,-0.10148831960316991,,,0.0032809664999374553
6,6,0.9581833333333334,Forward,0.6117388706029481,287.8145643586304,16230.0,16246.357335173678,ok,0.000526569263403388,14425.254753418181,ok,-80.25536978001037,63.921241098240316,-0.11661231919950506,-70.1695937174718,61.275150299072266,-0.10195752736684169,,,0.0032809664999374553
7,6,1.0948333333333333,Forward,0.6115476396123489,287.85237461340694,16230.0,16246.384002140274,ok,0.0005401404419824514,14425.254753418181,ok,-80.2287028134142,63.92127984576374,-0.1165735716760768,-70.1695937174718,61.275150299072266,-0.10195752736684169,,,0.0032809664999374553
8,6,1.2304333333333333,Forward,0.6116828969702515,287.9186184097289,16235.0,16246.330328881328,ok,0.0005289776670670774,14425.517289950987,ok,-80.28237607236042,63.92120185767121,-0.1166515597686103,-69.90705718466597,61.27553176879883,-0.10157605764028005,,,0.0032809664999374553
9,6,1.3668,Forward,0.6116028436553586,287.8214024066092,16235.0,16246.32693943521,ok,0.0005253654440878708,14425.254753418181,ok,-80.285765518478,63.921196932752494,-0.11665648468732485,-70.1695937174718,61.275150299072266,-0.10195752736684169,,,0.0032809664999374553
