scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,0,0.14448333333333332,Forward,0.10315902610548275,19855.0,19853.351627253745,ok,0.0005255286635390886,2.8468200768348908e-11,14482.00478084577,ok,-100.57483488356593,68.94826061642986,-0.14315186954826598,-61.785376991807425,61.303024669031586,-0.08794140440161823,1.5934355051406113,-0.0030229134027986715,0.011382457714584297
1,0,0.28031666666666666,Forward,0.10343077994856123,19865.0,19854.10997390772,ok,0.0005270624797526219,0.0021066963498359366,14480.839857788944,ok,-99.8164882295896,68.94933999917414,-0.1420724868039835,-62.950300048632926,61.30136659110724,-0.08959948232595694,1.5934355051406113,0.0006985095764149851,0.011382457714584297
2,0,0.4159,Forward,0.10365821453052954,19850.0,19854.29098374358,ok,0.0005234121014766579,0.0018704311561509276,14480.786495301023,ok,-99.63547839373132,68.9495976371453,-0.14181484883281767,-63.00366253655375,61.301290638311315,-0.08967543512188701,1.5934355051406113,0.0010771734293304747,0.011382457714584297
3,0,0.5517166666666666,Forward,0.10365544067864256,19865.0,19853.894428632528,ok,0.0005198700524610066,0.0014139852734090495,14480.32366055794,ok,-100.03203350478361,68.94903320563924,-0.14237928033888753,-63.466497279636314,61.30063186856199,-0.09033420487120715,1.5934355051406113,0.0015624490315399031,0.011382457714584297
4,0,0.6867666666666666,Forward,0.1036413191979351,19835.0,19854.13564344081,ok,0.0005210576372469291,0.0008141540007209061,14480.61597642456,ok,-99.79081869649963,68.94937653556673,-0.1420359504113907,-63.17418141301641,61.301047932509334,-0.08991814092386183,1.5934355051406113,0.0012428078929277442,0.011382457714584297
5,0,0.82235,Forward,0.10379735066945908,19850.0,19853.539549104946,ok,0.0005215784986393061,0.0019649448252632607,14479.996255752107,ok,-100.38691303236556,68.94852809252723,-0.14288439345089582,-63.79390208547011,61.300165861234134,-0.09080021219906857,1.5934355051406113,0.0017998885414017007,0.011382457714584297
6,0,0.9581833333333334,Forward,0.10378973342748485,19850.0,19852.37876193016,ok,0.0005272130601702684,0.0015164691545416636,14480.50015083395,ok,-101.54770020715296,68.94687590135624,-0.14453658462188645,-63.29000700362667,61.30088307367704,-0.09008299975615905,1.5934355051406113,-0.0009951344008495844,0.011382457714584297
7,0,1.0948333333333333,Forward,0.10381622952367844,19855.0,19852.67645514477,ok,0.0005323741805571633,0.0018113692103245698,14480.267300468478,ok,-101.25000699254088,68.94729961908118,-0.14411286689694175,-63.52285736909835,61.3005516491693,-0.09041442426389855,1.5934355051406113,-4.331309799901484e-05,0.011382457714584297
8,0,1.2304333333333333,Forward,0.10390547904830943,19855.0,19852.42593791671,ok,0.0005251996557513396,0.002470847507845072,14480.166320312923,ok,-101.50052422060253,68.94694304867674,-0.14446943730138329,-63.623837524653936,61.300407920391905,-0.0905581530412989,1.5934355051406113,-0.00017086096542040519,0.011382457714584297
9,0,1.3668,Forward,0.10398106964200773,19855.0,19853.0853467228,ok,0.0005251863237074826,0.0020280859675538727,14480.49841409355,ok,-100.84111541451057,68.94788160953541,-0.14353087644271587,-63.29174374402646,61.30088060171042,-0.09008547172278408,1.5934355051406113,1.4512697708829458e-05,0.011382457714584297
10,0,1.5034,Forward,0.1039695597395905,19855.0,19853.251804082644,ok,0.0005321875926550447,0.0012787897839191835,14480.039292537056,ok,-100.67465805466782,68.94811853443107,-0.14329395154704844,-63.75086530052067,61.30022711707643,-0.09073895635676975,1.5934355051406113,0.0012927232112328602,0.011382457714584297
11,0,1.63895,Forward,0.10402328018178081,19855.0,19853.73792949361,ok,0.0005240153744880824,0.001799942342763403,14480.136126186067,ok,-100.18853264370046,68.94881045464646,-0.14260203133166394,-63.654031651509285,61.30036494397823,-0.09060112945496863,1.5934355051406113,0.0017650251477239198,0.011382457714584297
12,0,1.7745166666666667,Forward,0.10397968956260958,19855.0,19851.93613547129,ok,0.0005276494730449745,0.0015518590235890143,14480.158931677299,ok,-101.99032666602216,68.94624589480269,-0.14516659117543443,-63.63122616027795,61.300397403874484,-0.09056866955871812,1.5934355051406113,-0.0008512574472253343,0.011382457714584297
13,0,1.9103666666666668,Forward,0.10398237955101464,19855.0,19851.996244093967,ok,0.0005228310001560213,0.0016137057463341267,14480.4049686084,ok,-101.93021804334421,68.94633144962087,-0.14508103635725075,-63.38518922917683,61.30074759730712,-0.09021847612607846,1.5934355051406113,-0.0013237132782767391,0.011382457714584297
