scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,1,0.14448333333333332,Forward,0.3340999843292657,17705.0,17709.14168820029,ok,0.0006292733890065451,2.712804711599467e-11,14501.3897576502,ok,-82.9962904191234,65.92794483296802,-0.12068782440189306,-62.796337193440195,61.263439952520244,-0.09131436209994435,1.3163693763207198,-0.00048439451526494093,0.005390869595656468
1,1,0.28031666666666666,Forward,0.3343684062502935,17715.0,17708.94245319367,ok,0.000628375218383305,0.001805671024301894,14500.829331491554,ok,-83.19552542574093,65.92765511833895,-0.12097753903096792,-63.356763352087,61.26262501713599,-0.09212929748420592,1.3163693763207198,0.00029864683918229273,0.005390869595656468
2,1,0.4159,Forward,0.3345969887843034,17710.0,17708.830928859523,ok,0.0006291525361334611,0.0014567554173026565,14500.531085576795,ok,-83.3070497598892,65.92749294688299,-0.12113971048692403,-63.65500926684581,61.262191327263736,-0.09256298735645471,1.3163693763207198,0.0007073714498749412,0.005390869595656468
3,1,0.5517166666666666,Forward,0.3346867861750421,17710.0,17708.594635599547,ok,0.0006405664896522653,0.001523271267418756,14500.895628337556,ok,-83.54334301986455,65.92714934454459,-0.1214833128253327,-63.29046650608507,61.262721421711035,-0.09203289290915473,1.3163693763207198,-0.00033403098551709753,0.005390869595656468
4,1,0.6867666666666666,Forward,0.33467461894095024,17710.0,17708.603862489366,ok,0.0006353268839938755,0.0015103212686229986,14500.440395804511,ok,-83.53411613004573,65.92716276168953,-0.12146989568039036,-63.74569903912925,61.26205945207682,-0.09269486254337113,1.3163693763207198,0.0005507827139619448,0.005390869595656468
5,1,0.82235,Forward,0.334772240515427,17710.0,17708.642726661612,ok,0.0006318509214000557,0.001718381325905776,14500.381201820217,ok,-83.49525195780006,65.92721927544902,-0.12141338192089794,-63.804893023423574,61.261973376022745,-0.09278093859744639,1.3163693763207198,0.0007206043550735675,0.005390869595656468
6,1,0.9581833333333334,Forward,0.3347353659967176,17710.0,17708.38114876414,ok,0.0006268749030553556,0.0015494430591200992,14500.725352839061,ok,-83.75682985527237,65.92683890583012,-0.1217937515398066,-63.460742004579515,61.262473818121066,-0.09228049649912805,1.3163693763207198,-0.00031853191668303193,0.005390869595656468
7,1,1.0948333333333333,Forward,0.33472370393342366,17710.0,17708.5321680619,ok,0.0006448240152550135,0.0012911894406961374,14500.224345430635,ok,-83.60581055751027,65.92705850830147,-0.12157414906844831,-63.961749413005236,61.261745285630916,-0.09300902898927653,1.3163693763207198,0.0008600884143613874,0.005390869595656468
8,1,1.2304333333333333,Forward,0.3349323655390622,17710.0,17708.401464248844,ok,0.0006300868459191635,0.0013594959468489704,14500.348185120127,ok,-83.73651437056833,65.9268684472908,-0.12176421007911939,-63.8379097235138,61.26192536527813,-0.09282894934205554,1.3163693763207198,0.0004329760707899588,0.005390869595656468
9,1,1.3668,Forward,0.3348398394870453,17710.0,17708.465228744586,ok,0.000631103377092485,0.001175533679669385,14500.059233051232,ok,-83.67274987482597,65.92696116948629,-0.12167148788362887,-64.12686179240882,61.26150518991397,-0.09324912470622254,1.3163693763207198,0.0010788042483543259,0.005390869595656468
10,1,1.5034,Forward,0.3349921934211584,17710.0,17708.049590130417,ok,0.0006254848462333037,0.002241377699144834,14500.006610883502,ok,-84.0883884889954,65.9263567747618,-0.1222758826081185,-64.1794839601389,61.26142867016945,-0.09332564445073863,1.3163693763207198,0.0005751377722295475,0.005390869595656468
11,1,1.63895,Forward,0.33495239051738546,17705.0,17708.40690181774,ok,0.0006326196857623482,0.0014982618284982042,14499.83189845394,ok,-83.73107680167232,65.92687635425094,-0.12175630311897959,-64.35419638970052,61.26117461468199,-0.09357969993819813,1.3163693763207198,0.0014291481249463917,0.005390869595656468
12,1,1.7745166666666667,Forward,0.3349626258955737,17710.0,17708.135273673604,ok,0.0006321762077674459,0.0017233905476629558,14500.358468694461,ok,-84.00270494580764,65.92648137021496,-0.12215128715497045,-63.827626149179196,61.26194031898519,-0.09281399563500127,1.3163693763207198,2.6214392910187123e-05,0.005390869595656468
