scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,0,0.14448333333333332,Forward,0.10315902610548275,469.06363359829993,19855.0,19863.12624159238,ok,0.0005255286635390886,14484.255279124587,ok,-96.82493579459333,68.9621731852977,-0.13781449995849515,-62.409935648944156,61.306227886182285,-0.0888303617587462,1.5934355051406113,0.0037309524023758367,0.011382457714584297
1,0,0.28031666666666666,Forward,0.10343077994856123,470.03257244188353,19865.0,19862.47206653132,ok,0.0005270624797526219,14482.889388475294,ok,-97.47911085565283,68.96124207382124,-0.13874561143494882,-63.77582629823701,61.30428376367618,-0.09077448426484953,1.5934355051406113,0.0058976747534901786,0.011382457714584297
2,0,0.4159,Forward,0.10365821453052954,470.3892785399221,19850.0,19862.395004381822,ok,0.0005234121014766579,14482.695523493154,ok,-97.55617300515223,68.96113238842345,-0.1388552968327426,-63.96969128037745,61.30400782850148,-0.09105041943954283,1.5934355051406113,0.006227674260169874,0.011382457714584297
3,0,0.5517166666666666,Forward,0.10365544067864256,469.9860226342171,19865.0,19862.12344806856,ok,0.0005198700524610066,14482.699217588479,ok,-97.82772931841464,68.96074587231357,-0.13924181294262386,-63.9659971850524,61.30401308644352,-0.0910451614975071,1.5934355051406113,0.005832779958764911,0.011382457714584297
4,0,0.6867666666666666,Forward,0.1036413191979351,470.4220668758462,19835.0,19862.084430593306,ok,0.0005210576372469291,14482.935993020676,ok,-97.86674679366843,68.9606903373029,-0.13929734795328633,-63.729221752855665,61.30435009764341,-0.09070815029762494,1.5934355051406113,0.00524023933658016,0.011382457714584297
5,0,0.82235,Forward,0.10379735066945908,470.41143643528267,19850.0,19861.938832297325,ok,0.0005215784986393061,14482.576415866492,ok,-98.0123450896499,68.96048310188166,-0.13950458337452185,-64.08879890703975,61.3038382982263,-0.09121994971472452,1.5934355051406113,0.005848523278061374,0.011382457714584297
6,0,0.9581833333333334,Forward,0.10378973342748485,470.3969378887814,19850.0,19861.966602914115,ok,0.0005272130601702684,14483.729064229194,ok,-97.9845744728591,68.96052262882414,-0.13946505643205442,-62.93615054433758,61.305478905126066,-0.08957934281496092,1.5934355051406113,0.0032738489364668166,0.011382457714584297
7,0,1.0948333333333333,Forward,0.10381622952367844,470.53421568244084,19855.0,19861.87073682392,ok,0.0005323741805571633,14482.884064875165,ok,-98.08044056305516,68.96038617908447,-0.13960150617173073,-63.78114989836649,61.30427618639989,-0.09078206154113486,1.5934355051406113,0.005053853917773549,0.011382457714584297
8,0,1.2304333333333333,Forward,0.10390547904830943,471.2037584781501,19855.0,19861.6335049639,ok,0.0005251996557513396,14482.891327078281,ok,-98.31767242307615,68.96004851823403,-0.1399391670221585,-63.77388769524987,61.30428652296126,-0.09077172497976353,1.5934355051406113,0.004699722423455649,0.011382457714584297
9,0,1.3668,Forward,0.10398106964200773,471.05759447467426,19855.0,19861.731967919997,ok,0.0005251863237074826,14482.780523652173,ok,-98.21920946697719,68.96018866418866,-0.13979902106752548,-63.88469112135863,61.304128812360815,-0.09092943558021528,1.5934355051406113,0.005091170048385524,0.011382457714584297
10,0,1.5034,Forward,0.1039695597395905,470.51330961784697,19855.0,19861.519169388434,ok,0.0005321875926550447,14482.725950634927,ok,-98.43200799854094,68.95988578019521,-0.14010190506097914,-63.9392641386039,61.304051136573875,-0.0910071113671514,1.5934355051406113,0.004912057411725623,0.011382457714584297
11,0,1.63895,Forward,0.10402328018178081,470.69576330538985,19855.0,19861.704296072636,ok,0.0005240153744880824,14483.201156625755,ok,-98.24688131433868,68.96014927782836,-0.13983840742782364,-63.464058147776086,61.304727514776104,-0.09033073316492723,1.5934355051406113,0.004097790002553947,0.011382457714584297
