scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,5,0.14448333333333332,Forward,0.4694333952961432,351.0310878835444,17020.0,17035.024349968975,ok,0.0006118223025092051,14465.466165610364,ok,-85.15630732986392,65.04668225018244,-0.12476118543987902,-67.18216592554745,61.28206239770914,-0.09842754957448131,,,0.0038989235312830157
1,5,0.28031666666666666,Forward,0.4696980071695159,351.18076031405144,17025.0,17034.554674139355,ok,0.000631416957672982,14464.895603540577,ok,-85.62598315948344,65.04599413540723,-0.12544930021508652,-67.75272799533377,61.2812264760678,-0.09926347121582059,,,0.0038989235312830157
2,5,0.4159,Forward,0.46960075563485926,351.26661191662424,17025.0,17034.566287584134,ok,0.0006160780773739878,14464.072580945356,ok,-85.61436971470539,65.0460111500851,-0.12543228553721963,-68.57575059055489,61.28002067842529,-0.10046926885833511,,,0.0038989235312830157
3,5,0.5517166666666666,Forward,0.46968858238234645,351.22415180059033,17025.0,17034.466929107748,ok,0.0006094672190563638,14463.801360232477,ok,-85.71372819109092,65.045865581522,-0.1255778541003249,-68.84697130343375,61.27962331716438,-0.1008666301192402,,,0.0038989235312830157
4,5,0.6867666666666666,Forward,0.46970217038053697,351.1701364654982,17025.0,17034.4778280033,ok,0.0006134921473349184,14464.75206576623,ok,-85.70282929554014,65.04588154932487,-0.12556188629745116,-67.89626576968112,61.2810161811003,-0.09947376618332791,,,0.0038989235312830157
5,5,0.82235,Forward,0.47001292951825735,351.3704725837815,17025.0,17034.426330338647,ok,0.0006182085863012188,14464.112587847661,ok,-85.75432696019197,65.04580610089491,-0.12563733472741254,-68.53574368824957,61.28007929191751,-0.10041065536611246,,,0.0038989235312830157
6,5,0.9581833333333334,Forward,0.4697959399975382,351.33851389843403,17020.0,17034.460484247564,ok,0.0006218260331459291,14463.822336807572,ok,-85.7201730512752,65.04585613925727,-0.12558729636504723,-68.82599472833863,61.279654049619296,-0.10083589766432999,,,0.0038989235312830157
7,5,1.0948333333333333,Forward,0.46976622191371864,351.4094274858144,17025.0,17034.499979025768,ok,0.000624964945524073,14464.316653335216,ok,-85.68067827307095,65.04591400244442,-0.1255294331779041,-68.33167820069502,61.280378265099095,-0.10011168218452474,,,0.0038989235312830157
8,5,1.2304333333333333,Forward,0.469682282864086,351.21688752021873,17025.0,17034.49869740727,ok,0.0006151701765863869,14463.543354326002,ok,-85.68195989156811,65.04591212476504,-0.12553131085729158,-69.10497720990861,61.27924531671143,-0.10124463057219087,,,0.0038989235312830157
9,5,1.3668,Forward,0.46971001677962143,351.22800211698996,17025.0,17034.500726860944,ok,0.0006188782424314716,14463.573227080386,ok,-85.67993043789465,65.04591509808614,-0.1255283375361832,-69.07510445552543,61.27928908282067,-0.10120086446294939,,,0.0038989235312830157
10,5,1.5034,Forward,0.46973717029517215,351.33056163155925,17025.0,17034.49985431362,ok,0.0006120935463492195,14464.418391705238,ok,-85.68080298521818,65.04591381973059,-0.12552961589173722,-68.22993983067317,61.280527320407465,-0.0999626268761554,,,0.0038989235312830157
11,5,1.63895,Forward,0.4696961233441611,351.3350328407105,17020.0,17034.550456142773,ok,0.0006183250115371517,14463.302989605492,ok,-85.6302011560656,65.04598795568585,-0.12545547993647502,-69.34534193041873,61.27889316208649,-0.10159678519712785,,,0.0038989235312830157
12,5,1.7745166666666667,Forward,0.4696185410012924,351.31940392760225,17020.0,17034.545099605308,ok,0.0006147510873155468,14463.67935250826,ok,-85.63555769353115,65.04598010790586,-0.12546332771645763,-68.96897902765159,61.27944456553948,-0.10104538174414657,,,0.0038989235312830157
13,5,1.9103666666666668,Forward,0.46972910205438045,351.2903225326154,17020.0,17034.49226801819,ok,0.0006216550046210982,14463.741215244647,ok,-85.68838928064724,65.04590270516678,-0.12554073045553765,-68.90711629126417,61.279535199675315,-0.10095474760830563,,,0.0038989235312830157
14,5,2.0468166666666665,Forward,0.46974799006777235,351.40768778691563,17020.0,17034.5200588923,ok,0.000618902272073703,14464.099404886998,ok,-85.66059840653907,65.04594342114552,-0.12550001447680556,-68.54892664891304,61.28005997776626,-0.10042996951736623,,,0.0038989235312830157
15,5,2.1837,Forward,0.4696469614760175,351.29317811040164,17020.0,17034.499068232355,ok,0.000629341825694505,14463.381378122878,ok,-85.68158906648387,65.04591266805511,-0.12553076756721065,-69.26695341303275,61.279008007887825,-0.10148193939579378,,,0.0038989235312830157
16,5,2.3187166666666665,Forward,0.46948709744434497,351.32422582016807,17020.0,17034.53371027117,ok,0.000620244460105145,14463.440815801425,ok,-85.64694702766792,65.04596342156903,-0.12548001405329898,-69.20751573448615,61.27909508910903,-0.1013948581745926,,,0.0038989235312830157
17,5,2.4539833333333334,Forward,0.4696987501670359,351.3930190700339,17020.0,17034.52841954317,ok,0.000619188468828278,14463.578803060558,ok,-85.65223775566847,65.04595567020547,-0.12548776541685486,-69.06952847535285,61.279297252102765,-0.1011926951808594,,,0.0038989235312830157
18,5,2.5890166666666667,Forward,0.4696385052058704,351.3326502045129,17020.0,17034.513640758676,ok,0.0006211269244721755,14463.372561748718,ok,-85.66701654016288,65.04593401803746,-0.12550941758485856,-69.27576978719298,61.278995091154755,-0.10149485612886971,,,0.0038989235312830157
