scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,1,0.14448333333333332,Forward,0.3340999843292657,17705.0,17709.14168820029,ok,0.0006292733890065451,14501.38975766189,ok,-82.9962904191234,65.92794483296802,-0.12068782440189306,-63.07996281852138,61.26343995253724,-0.09172679209486119,1.3163693763207198,5.8515699919700626e-05,0.005390869595656468
1,1,0.28031666666666666,Forward,0.3343684062502935,17715.0,17708.94245319367,ok,0.000628375218383305,14501.403402158814,ok,-83.19552542574093,65.92765511833895,-0.12097753903096792,-63.066318321596555,61.263459793480024,-0.0917069511520841,1.3163693763207198,-0.0002573169386242413,0.005390869595656468
2,1,0.4159,Forward,0.3345969887843034,17710.0,17708.830928859523,ok,0.0006291525361334611,14501.250133282174,ok,-83.3070497598892,65.92749294688299,-0.12113971048692403,-63.219587198236695,61.26323691981691,-0.09192982481519374,1.3163693763207198,-0.00012610432967441465,0.005390869595656468
3,1,0.5517166666666666,Forward,0.3346867861750421,17710.0,17708.594635599547,ok,0.0006405664896522653,14501.210202484483,ok,-83.54334301986455,65.92714934454459,-0.1214833128253327,-63.259517995928036,61.263178855039854,-0.09198788959225382,1.3163693763207198,-0.0003932719737183149,0.005390869595656468
4,1,0.6867666666666666,Forward,0.33467461894095024,17710.0,17708.603862489366,ok,0.0006353268839938755,14500.879044279181,ok,-83.53411613004573,65.92716276168953,-0.12146989568039036,-63.590676201229144,61.26269730624859,-0.09246943838351664,1.3163693763207198,0.0002540412532466563,0.005390869595656468
5,1,0.82235,Forward,0.334772240515427,17710.0,17708.642726661612,ok,0.0006318509214000557,14501.282862764494,ok,-83.49525195780006,65.92721927544902,-0.12141338192089794,-63.18685771591663,61.26328451290806,-0.09188223172404399,1.3163693763207198,-0.0004624258513623025,0.005390869595656468
6,1,0.9581833333333334,Forward,0.3347353659967176,17710.0,17708.38114876414,ok,0.0006268749030553556,14501.070935351237,ok,-83.75682985527237,65.92683890583012,-0.1217937515398066,-63.39878512917312,61.262976341804176,-0.0921904028279317,1.3163693763207198,-0.00043712846644622383,0.005390869595656468
7,1,1.0948333333333333,Forward,0.33472370393342366,17710.0,17708.5321680619,ok,0.0006448240152550135,14500.864524154205,ok,-83.60581055751027,65.92705850830147,-0.12157414906844831,-63.60519632620526,61.26267619202427,-0.09249055260783391,1.3163693763207198,0.00017758198348474807,0.005390869595656468
8,1,1.2304333333333333,Forward,0.3349323655390622,17710.0,17708.401464248844,ok,0.0006300868459191635,14500.922317547007,ok,-83.73651437056833,65.9268684472908,-0.12176421007911939,-63.547402933403646,61.262760231429006,-0.09240651320309898,1.3163693763207198,-0.00012310592598362147,0.005390869595656468
9,1,1.3668,Forward,0.3348398394870453,17710.0,17708.465228744586,ok,0.000631103377092485,14500.853340452806,ok,-83.67274987482597,65.92696116948629,-0.12167148788362887,-63.616380027604464,61.2626599294108,-0.09250681522130512,1.3163693763207198,0.00010165077465661143,0.005390869595656468
