scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,5,0.14448333333333332,Forward,0.4694333952961432,351.0310878835444,17020.0,17035.024349968975,ok,0.0006118223025092051,3.493167830655021e-11,14462.283010024357,ok,-85.15630732986392,65.04668225018244,-0.12476118543987902,-68.6839214643569,61.277398805817924,-0.10062774832825071,,,0.0038989235312830157
1,5,0.28031666666666666,Forward,0.4696980071695159,351.18076031405144,17025.0,17034.554674139355,ok,0.000631416957672982,0.0025661785301575304,14460.924606998991,ok,-85.62598315948344,65.04599413540723,-0.12544930021508652,-70.04232448972289,61.27540863060878,-0.10261792353739044,,,0.0038989235312830157
2,5,0.4159,Forward,0.46960075563485926,351.26661191662424,17025.0,17034.566287584134,ok,0.0006160780773739878,0.001135666389969183,14460.88024615632,ok,-85.61436971470539,65.0460111500851,-0.12543228553721963,-70.08668533239506,61.27534363822604,-0.10268291592013261,,,0.0038989235312830157
3,5,0.5517166666666666,Forward,0.46968858238234645,351.22415180059033,17025.0,17034.466929107748,ok,0.0006094672190563638,0.0008707839361156659,14460.678761288686,ok,-85.71372819109092,65.045865581522,-0.1255778541003249,-70.28817020002862,61.27504844587068,-0.10297810827548905,,,0.0038989235312830157
4,5,0.6867666666666666,Forward,0.46970217038053697,351.1701364654982,17025.0,17034.4778280033,ok,0.0006134921473349184,0.00136465422440878,14460.695564864149,ok,-85.70282929554014,65.04588154932487,-0.12556188629745116,-70.27136662456542,61.27507306452854,-0.10295348961763325,,,0.0038989235312830157
5,5,0.82235,Forward,0.47001292951825735,351.3704725837815,17025.0,17034.426330338647,ok,0.0006182085863012188,0.0014972553955817996,14460.395886133589,ok,-85.75432696019197,65.04580610089491,-0.12563733472741254,-70.57104535512553,61.2746340098672,-0.10339254427897467,,,0.0038989235312830157
6,5,0.9581833333333334,Forward,0.4697959399975382,351.33851389843403,17020.0,17034.460484247564,ok,0.0006218260331459291,0.0015185554510718272,14460.528234552014,ok,-85.7201730512752,65.04585613925727,-0.12558729636504723,-70.43869693670058,61.274827911482845,-0.10319864266332769,,,0.0038989235312830157
7,5,1.0948333333333333,Forward,0.46976622191371864,351.4094274858144,17025.0,17034.499979025768,ok,0.000624964945524073,0.0018592763781365908,14460.46434952411,ok,-85.68067827307095,65.04591400244442,-0.1255294331779041,-70.50258196460345,61.274734314519065,-0.10329223962711039,,,0.0038989235312830157
8,5,1.2304333333333333,Forward,0.469682282864086,351.21688752021873,17025.0,17034.49869740727,ok,0.0006151701765863869,0.0016880085361234093,14460.55628765776,ok,-85.68195989156811,65.04591212476504,-0.12553131085729158,-70.41064383095363,61.27486901165308,-0.10315754249308778,,,0.0038989235312830157
9,5,1.3668,Forward,0.46971001677962143,351.22800211698996,17025.0,17034.500726860944,ok,0.0006188782424314716,0.0018482969133627517,14460.45526669648,ok,-85.67993043789465,65.04591509808614,-0.1255283375361832,-70.51166479223502,61.27472100740914,-0.10330554673703557,,,0.0038989235312830157
10,5,1.5034,Forward,0.46973717029517215,351.33056163155925,17025.0,17034.49985431362,ok,0.0006120935463492195,0.0023363948218816342,14460.762867554064,ok,-85.68080298521818,65.04591381973059,-0.12552961589173722,-70.20406393465055,61.27517166865594,-0.10285488549023085,,,0.0038989235312830157
11,5,1.63895,Forward,0.4696961233441611,351.3350328407105,17020.0,17034.550456142773,ok,0.0006183250115371517,0.0016266770034848847,14460.150486728287,ok,-85.6302011560656,65.04598795568585,-0.12545547993647502,-70.81644476042675,61.27427447900364,-0.10375207514253154,,,0.0038989235312830157
12,5,1.7745166666666667,Forward,0.4696185410012924,351.31940392760225,17020.0,17034.545099605308,ok,0.0006147510873155468,0.0014672492949831268,14460.558275993397,ok,-85.63555769353115,65.04598010790586,-0.12546332771645763,-70.40865549531736,61.27487192473279,-0.10315462941337811,,,0.0038989235312830157
13,5,1.9103666666666668,Forward,0.46972910205438045,351.2903225326154,17020.0,17034.49226801819,ok,0.0006216550046210982,0.0023668646783351253,14460.059293800105,ok,-85.68838928064724,65.04590270516678,-0.12554073045553765,-70.90763768860961,61.274140873658595,-0.10388568048757962,,,0.0038989235312830157
14,5,2.0468166666666665,Forward,0.46974799006777235,351.40768778691563,17020.0,17034.5200588923,ok,0.000618902272073703,0.0015232032890382273,14460.235329815501,ok,-85.66059840653907,65.04594342114552,-0.12550001447680556,-70.73160167321294,61.27439878129515,-0.10362777285102691,,,0.0038989235312830157
15,5,2.1837,Forward,0.4696469614760175,351.29317811040164,17020.0,17034.499068232355,ok,0.000629341825694505,0.0014537453788025384,14460.21514829539,ok,-85.68158906648387,65.04591266805511,-0.12553076756721065,-70.75178319332372,61.274369213662965,-0.10365734048320766,,,0.0038989235312830157
16,5,2.3187166666666665,Forward,0.46948709744434497,351.32422582016807,17020.0,17034.53371027117,ok,0.000620244460105145,0.0018327993108113645,14460.376364570619,ok,-85.64694702766792,65.04596342156903,-0.12548001405329898,-70.59056691809565,61.274605409127986,-0.10342114501818186,,,0.0038989235312830157
17,5,2.4539833333333334,Forward,0.4696987501670359,351.3930190700339,17020.0,17034.52841954317,ok,0.000619188468828278,0.0023451456846415204,14459.725438716243,ok,-85.65223775566847,65.04595567020547,-0.12548776541685486,-71.24149277247125,61.27365174775197,-0.1043748063942064,,,0.0038989235312830157
18,5,2.5890166666666667,Forward,0.4696385052058704,351.3326502045129,17020.0,17034.513640758676,ok,0.0006211269244721755,0.001753681434415716,14460.233352726496,ok,-85.66701654016288,65.04593401803746,-0.12550941758485856,-70.7335787622178,61.2743958846927,-0.10363066945347131,,,0.0038989235312830157
19,5,2.7235833333333335,Forward,0.4696315150950236,351.3855055863496,17020.0,17034.528159125606,ok,0.0006179020483642703,0.001900806919688398,14460.030863646109,ok,-85.65249817323274,65.04595528867173,-0.12548814695059024,-70.93606784260555,61.27409922108081,-0.10392733306536264,,,0.0038989235312830157
20,5,2.8588833333333334,Forward,0.46954748951733377,351.20350585327105,17020.0,17034.58400868198,ok,0.0006179783331089842,0.001516963242374041,14460.518734780399,ok,-85.59664861685815,65.04603711299077,-0.12540632263154602,-70.44819670831566,61.274813993514755,-0.103212560631418,,,0.0038989235312830157
21,5,2.9933833333333335,Forward,0.4695383956830549,351.28912961468086,17025.0,17034.608056124314,ok,0.0006152542836768268,0.001477136130009023,14460.618114361263,ok,-85.5726011745246,65.04607234452567,-0.1253710910966615,-70.34881712745118,61.2749595929977,-0.10306696114846788,,,0.0038989235312830157
22,5,3.127883333333333,Forward,0.46933758221797384,351.24456605888554,17025.0,17034.600846334837,ok,0.0006325496335571415,0.002686919337996728,14460.264792106731,ok,-85.57981096400181,65.04606178157489,-0.12538165404742996,-70.70213938198322,61.274441946041186,-0.10358460810498694,,,0.0038989235312830157
23,5,3.2629333333333332,Forward,0.46959656134037636,351.278481986963,17025.0,17034.615485487004,ok,0.0006183960537514286,0.0017850453060790146,14459.951230414183,ok,-85.56517181183517,65.04608322916974,-0.1253602064525845,-71.01570107453153,61.2739825516675,-0.10404400247866881,,,0.0038989235312830157
24,5,3.3979833333333334,Forward,0.4694503871647828,351.37423796089206,17025.0,17034.613365339537,ok,0.000614552986751192,0.0019368603786146874,14460.186060966867,ok,-85.56729195930166,65.04608012297456,-0.12536331264776276,-70.78087052184674,61.27432659826897,-0.10369995587720018,,,0.0038989235312830157
25,5,3.5335833333333335,Forward,0.46951603424747157,351.3229353582901,17025.0,17034.63057845364,ok,0.0006387455983038546,0.0039926965818872,14460.491909940329,ok,-85.55007884519728,65.04610534164112,-0.12533809398119405,-70.47502154838548,61.27477469285751,-0.10325186128865978,,,0.0038989235312830157
26,5,3.668083333333333,Forward,0.46941281825391024,351.17588799640725,17025.0,17034.606454950732,ok,0.0006161177618897364,0.001691591229541535,14460.203137132752,ok,-85.57420234810706,65.04606999867107,-0.12537343695124945,-70.76379435596209,61.27435161629482,-0.1036749378513447,,,0.0038989235312830157
27,5,3.803383333333333,Forward,0.46958868968871903,351.2015083561964,17025.0,17034.667315645707,ok,0.0006227797739278685,0.002450396000948595,14459.954531921006,ok,-85.51334165313165,65.04615916473158,-0.12528427089074362,-71.01239956770769,61.27398738865396,-0.10403916549221418,,,0.0038989235312830157
28,5,3.9384166666666665,Forward,0.46936414942471044,351.4492178802393,17025.0,17034.735118008342,ok,0.0006118536244196095,0.0014479989735968857,14460.27020409846,ok,-85.44553929049653,65.04625850092174,-0.12518493470058667,-70.69672739025373,61.27444987506635,-0.10357667907982213,,,0.0038989235312830157
29,5,4.072666666666667,Forward,0.46947928720456716,351.0953340204687,17025.0,17034.686371418822,ok,0.0006110823177687137,0.001623239806825614,14460.273255114664,ok,-85.49428588001683,65.04618708304929,-0.1252563525730309,-70.69367637405048,61.27445434506288,-0.10357220908329164,,,0.0038989235312830157
30,5,4.2077,Forward,0.46942205418262295,351.14305642003455,17025.0,17034.772500949854,ok,0.0006213403871822194,0.002634723595719242,14459.96458791691,ok,-85.40815634898536,65.04631327008968,-0.12513016553263653,-71.00234357180489,61.27400212153763,-0.10402443260854471,,,0.0038989235312830157
31,5,4.3422,Forward,0.46935154031443893,351.1091854865808,17020.0,17034.71103152783,ok,0.000636371193252937,0.0032806086209294576,14460.080274380709,ok,-85.4696257710093,65.04622321219261,-0.1252202234297023,-70.88665710800524,61.27417161198191,-0.10385494216425992,,,0.0038989235312830157
32,5,4.478316666666666,Forward,0.46950748446389184,351.16491090353884,17020.0,17034.753823988987,ok,0.0006281231363183626,0.0022691177028049867,14460.238901770563,ok,-85.42683330985165,65.04628590676393,-0.1251575288583978,-70.72802971815145,61.27440401451112,-0.10362253963505287,,,0.0038989235312830157
33,5,4.6134,Forward,0.46931494240979904,351.2847836474248,17025.0,17034.80176102547,ok,0.0006167291987987694,0.00163831321418924,14459.956390408424,ok,-85.37889627337063,65.04635613857276,-0.12508729704955857,-71.01054108028984,61.27399011149505,-0.10403644265111589,,,0.0038989235312830157
