scan_index,channel_id,time_min,direction,DipDepth,CentroidWidthMotor,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
13,1,1.9103666666666668,Forward,0.33511112104271534,389.4305350040959,17715.0,17720.453623309837,ok,0.0006344598704588515,0.0016500336309496248,14499.936889684423,ok,-81.22870755640179,65.94439391558669,-0.1181175200054596,-64.24920515921804,61.26132728612218,-0.09342702849801424,1.3163693763207198,0.00486695922996952,0.005390869595656468
14,1,2.0468166666666665,Forward,0.33517090200003696,389.23502514960273,17705.0,17720.406676833045,ok,0.0006332956735169911,0.0012155421781283903,14500.190322156675,ok,-81.27565403319386,65.94432564906396,-0.11818578652820125,-63.99577268696521,61.26169581119184,-0.09305850342834511,1.3163693763207198,0.004313577591108966,0.005390869595656468
15,1,2.1837,Forward,0.33524580274279714,389.32764742067593,17705.0,17720.37194396211,ok,0.0006326245046676795,0.0015856835164001016,14499.700205217163,ok,-81.3103869041297,65.94427514277497,-0.11823629281718488,-64.48588962647773,61.260983114915504,-0.09377119970469158,1.3163693763207198,0.005201242854925639,0.005390869595656468
16,1,2.3187166666666665,Forward,0.335171825370292,389.2813120222854,17715.0,17720.3318559773,ok,0.0006302349976976422,0.0012156548878789978,14500.054474278837,ok,-81.35047488893906,65.9442168494266,-0.11829458616556064,-64.1316205648036,61.26149827001569,-0.09325604460450052,1.3163693763207198,0.004464815108602929,0.005390869595656468
17,1,2.4539833333333334,Forward,0.33521708962514685,389.28085345084037,17705.0,17720.310285186308,ok,0.0006245284416274729,0.001356256554285092,14500.224988321032,ok,-81.37204567993103,65.94418548258089,-0.11832595301126306,-63.96110652260904,61.26174622048045,-0.09300809413974466,1.3163693763207198,0.00410705386425142,0.005390869595656468
18,1,2.5890166666666667,Forward,0.33527407758168815,389.3845586738753,17710.0,17720.26872770498,ok,0.0006374547541456218,0.0013970491932105674,14499.793660451858,ok,-81.41360316125792,65.94412505238596,-0.11838638320619872,-64.39243439178244,61.261119011458554,-0.09363530316163665,1.3163693763207198,0.0048722624182864355,0.005390869595656468
19,1,2.7235833333333335,Forward,0.3353214110617654,389.14494078923235,17710.0,17720.199693262548,ok,0.0006286232196967541,0.0011370841269414027,14499.898250257569,ok,-81.48263760369082,65.94402466697566,-0.11848676861648573,-64.28784458607151,61.26127109917286,-0.09348321544732888,1.3163693763207198,0.004571673398370071,0.005390869595656468
20,1,2.8588833333333334,Forward,0.33525888215787725,389.46415282629823,17710.0,17720.187476766296,ok,0.0006331305751859863,0.001019683082698235,14500.1566461121,ok,-81.49485409994304,65.94400690253889,-0.11850453305327019,-64.02944873154047,61.26164684167124,-0.09310747294895531,1.3163693763207198,0.004059293043344403,0.005390869595656468
21,1,2.9933833333333335,Forward,0.335359643191221,389.3470714137511,17705.0,17720.15397540125,ok,0.0006293025588402684,0.002063648739134931,14500.304167844122,ok,-81.52835546499045,65.94395818702591,-0.11855324856623646,-63.88192699951833,61.26186135820926,-0.09289295641092882,1.3163693763207198,0.0037281945290057183,0.005390869595656468
22,1,3.127883333333333,Forward,0.33518465734523334,389.2169123718704,17710.0,17720.1829338682,ok,0.0006340705401578925,0.001808689908291678,14500.413289253955,ok,-81.49939699803872,65.94400029655101,-0.11851113904113877,-63.77280558968596,61.262020035488476,-0.09273427913171754,1.3163693763207198,0.0035614261430317873,0.005390869595656468
23,1,3.2629333333333332,Forward,0.33533291471193005,389.4460000483632,17705.0,17720.081398688955,ok,0.0006370247409025823,0.0014962701203833388,14499.73934826029,ok,-81.60093217728354,65.94385265067646,-0.11865878491568849,-64.44674658335134,61.26104003419095,-0.09371428042924522,1.3163693763207198,0.004703823965302084,0.005390869595656468
24,1,3.3979833333333334,Forward,0.3355731187146516,389.34884471072655,17710.0,17720.02246806867,ok,0.0006269890827652878,0.0013260381190639027,14499.994831468146,ok,-81.65986279756908,65.94376695758925,-0.11874447800289757,-64.1912633754946,61.26141154130737,-0.09334277331282183,1.3163693763207198,0.004129090286948023,0.005390869595656468
25,1,3.5335833333333335,Forward,0.3354535972435818,389.3955657888,17715.0,17720.017056320885,ok,0.000627314291172957,0.0013391993748603599,14499.895286289022,ok,-81.6652745453539,65.9437590881765,-0.11875234741565159,-64.2908085546187,61.26126678916197,-0.09348752545821912,1.3163693763207198,0.004311768165551719,0.005390869595656468
26,1,3.668083333333333,Forward,0.3354113130991845,389.4375906222631,17710.0,17719.994251610777,ok,0.0006310846774008102,0.0008026230669163126,14499.480881582569,ok,-81.68807925546207,65.94372592704562,-0.11878550854653074,-64.70521326107155,61.26066418870609,-0.09409012591410859,1.3163693763207198,0.005071851820962384,0.005390869595656468
27,1,3.803383333333333,Forward,0.33550672405790116,389.38203932692704,17710.0,17719.9741925697,ok,0.0006302051253145073,0.0013661830291118464,14500.364513521146,ok,-81.70813829653707,65.94369675848863,-0.11881467710351931,-63.82158132249424,61.26194910898023,-0.09280520563995678,1.3163693763207198,0.00335125356406675,0.005390869595656468
28,1,3.9384166666666665,Forward,0.33543991900300435,389.41685238820355,17715.0,17720.02301610052,ok,0.0006344375583185388,0.0016536914100853109,14500.270039914576,ok,-81.65931476571859,65.94376775450164,-0.11874368109051264,-63.91605492906456,61.261811731586825,-0.09294258303336551,1.3163693763207198,0.0036030889707554387,0.005390869595656468
29,1,4.072666666666667,Forward,0.3356358064189334,389.5828242865573,17710.0,17719.93772865523,ok,0.0006227988197966556,0.0020327750630063594,14500.29269909366,ok,-81.7446022110089,65.94364373502837,-0.11886770056377949,-63.89339574998121,61.26184468109592,-0.09290963352426707,1.3163693763207198,0.0034356957727465914,0.005390869595656468
30,1,4.2077,Forward,0.3355344605576363,389.3290701112128,17710.0,17719.957005809712,ok,0.0006265028198156335,0.0014705907511221661,14499.794461428726,ok,-81.72532505652634,65.94367176661657,-0.11883966897557947,-64.3916334149144,61.261120176187184,-0.09363413843300707,1.3163693763207198,0.004417443435805982,0.005390869595656468
31,1,4.3422,Forward,0.33556985121247884,389.6382517791171,17715.0,17719.892065745862,ok,0.0006302010090176329,0.001798124130309621,14499.75779823545,ok,-81.79026512037672,65.94357733498616,-0.11893410060599383,-64.42829660819007,61.26106686294861,-0.09368745167158342,1.3163693763207198,0.004393191720006018,0.005390869595656468
32,1,4.478316666666666,Forward,0.33554202407822087,389.49431159376036,17705.0,17719.889314733846,ok,0.0006324420921210406,0.001042296698364047,14500.168939682495,ok,-81.79301613239295,65.94357333464285,-0.11893810094930395,-64.01715516114564,61.26166471818424,-0.09308959643594983,1.3163693763207198,0.00360219305303483,0.005390869595656468
33,1,4.6134,Forward,0.3355246211489448,389.42905956222603,17705.0,17719.917741773123,ok,0.0006346730269852577,0.0018094478107897338,14499.536104069275,ok,-81.76458909311623,65.94361467140027,-0.11889676419187575,-64.6499907743655,61.26074448966586,-0.09400982495433124,1.3163693763207198,0.004854890451277308,0.005390869595656468
34,1,4.748683333333333,Forward,0.335564528791952,389.5430811653314,17705.0,17719.88225624769,ok,0.0006335273996316283,0.0017611239110105704,14500.024873419541,ok,-81.80007461854984,65.94356307064993,-0.11894836494223116,-64.1612214240995,61.2614552263653,-0.09329908825489511,1.3163693763207198,0.0038676976751569198,0.005390869595656468
35,1,4.884,Forward,0.3356363142810984,389.47302930058504,17705.0,17719.836587324633,ok,0.0006324773214122758,0.0013065631296309839,14499.815098019388,ok,-81.84574354160577,65.943496661863,-0.11901477372916083,-64.37099682425287,61.261150184579336,-0.09360413004085562,1.3163693763207198,0.004202836553763828,0.005390869595656468
36,1,5.019033333333334,Forward,0.3355372377658162,389.51330357806364,17710.0,17719.905077586445,ok,0.0006331220009485061,0.0009205119756599973,14499.689635207335,ok,-81.77725327979351,65.9435962559611,-0.11891517963105,-64.4964596363061,61.26096774469252,-0.09378656992766964,1.3163693763207198,0.0045425889318960605,0.005390869595656468
37,1,5.1538,Forward,0.33545191648125583,389.69440941870926,17715.0,17719.835810020137,ok,0.0006339524441709432,0.0014465809787158881,14500.005252817,ok,-81.84652084610207,65.94349553155719,-0.11901590403496223,-64.18084202664068,61.2614266953572,-0.09332761926299428,1.3163693763207198,0.0038377159277631495,0.005390869595656468
38,1,5.288833333333334,Forward,0.3355601354873222,389.4426463788186,17715.0,17719.805918690072,ok,0.0006308365185933733,0.00126663270351002,14499.73159513648,ok,-81.87641217616692,65.94345206552303,-0.11905937006911615,-64.45449970716072,61.261028760100984,-0.09372555451920933,1.3163693763207198,0.004318079678649056,0.005390869595656468
39,1,5.42335,Forward,0.33564221657795057,389.4951446061277,17710.0,17719.833725114364,ok,0.0006382031873698336,0.001251705428361677,14499.748504467136,ok,-81.84860575187486,65.94349249982238,-0.11901893576976062,-64.43759037650489,61.26105334855329,-0.09370096606689851,1.3163693763207198,0.004326146492371508,0.005390869595656468
40,1,5.5584,Forward,0.33563274363845097,389.41611077110065,17710.0,17719.828188999352,ok,0.0006335946691281417,0.0017392873268843338,14499.842902788632,ok,-81.8541418668865,65.94348444956287,-0.11902698602927246,-64.34319205500833,61.26119061647203,-0.0935636981481629,1.3163693763207198,0.004137400948284825,0.005390869595656468
41,1,5.6931666666666665,Forward,0.33554020817761004,389.4060602114914,17705.0,17719.80536696844,ok,0.0006268801599797695,0.0009093144654424513,14500.082607336924,ok,-81.8769638977974,65.94345126324521,-0.11906017234693991,-64.10348750671619,61.26153917928474,-0.09321513533545735,1.3163693763207198,0.003645377218247564,0.005390869595656468
42,1,5.828,Forward,0.33565527059432043,389.5139365835021,17710.0,17719.785648598474,ok,0.0006384229002411818,0.0021920347492064883,14499.64587531496,ok,-81.89668226776485,65.94342259007006,-0.11908884552209154,-64.54021952868061,61.260904111894234,-0.0938502027259558,1.3163693763207198,0.004452687307848022,0.005390869595656468
43,1,5.964666666666667,Forward,0.3356957672302018,389.5481958115961,17705.0,17719.811145352774,ok,0.0006315239958578618,0.0008488377172832843,14499.869818982337,ok,-81.8711855134643,65.94345966579706,-0.11905176979508852,-64.31627586130344,61.26122975625579,-0.09352455836440848,1.3163693763207198,0.004061094769738635,0.005390869595656468
44,1,6.099966666666667,Forward,0.3355727744413216,389.54229987380677,17705.0,17719.861638780487,ok,0.0006438119894030185,0.0015814813551739983,14499.679948761588,ok,-81.82069208575194,65.94353309006587,-0.11897834552628778,-64.50614608205251,61.26095365929115,-0.09380065532904622,1.3163693763207198,0.004497964627683593,0.005390869595656468
45,1,6.235283333333333,Forward,0.3355882301264075,389.46648780622127,17710.0,17719.838219259545,ok,0.0006299852618902962,0.0011572289221554919,14499.847248963042,ok,-81.84411160669333,65.94349903491693,-0.11901240067521886,-64.33884588059846,61.26119693639707,-0.09355737822312347,1.3163693763207198,0.0041436669465558795,0.005390869595656468
46,1,6.370866666666666,Forward,0.3355115681384886,389.6181503083062,17705.0,17719.86769744358,ok,0.0006376462725949612,0.0021157329815690035,14499.771347573538,ok,-81.81463342265852,65.94354190018092,-0.1189695354112352,-64.41474727010245,61.26108656551757,-0.09366774910261771,1.3163693763207198,0.004331821056343346,0.005390869595656468
47,1,6.504833333333333,Forward,0.3356061892723358,389.3697378656361,17710.0,17719.79144588643,ok,0.0006256783473447092,0.0012405214506596236,14499.645370035149,ok,-81.89088497980993,65.94343102011032,-0.11908041548181893,-64.54072480849209,61.26090337714909,-0.09385093747109746,1.3163693763207198,0.004462084544124514,0.005390869595656468
48,1,6.6406833333333335,Forward,0.3355867283314603,389.32147443004214,17710.0,17719.860865988332,ok,0.0006332192134990382,0.0020260586319560837,14500.24172730347,ok,-81.82146487790669,65.94353196632161,-0.11897946927053467,-63.94436754017079,61.26177056122343,-0.0929837533967672,1.3163693763207198,0.003421496196327395,0.005390869595656468
49,1,6.77545,Forward,0.3356147772124359,389.15802638378955,17695.0,17719.85687025571,ok,0.0006275726262202655,0.0009482568861712527,14499.37538498316,ok,-81.82546061052926,65.9435261559863,-0.11898527960584813,-64.81070986048144,61.26051078239117,-0.09424353222902077,1.3163693763207198,0.0050740201367295845,0.005390869595656468
50,1,6.911016666666667,Forward,0.33543597154706056,389.4129822066934,17710.0,17719.92735571849,ok,0.0006319356773150771,0.0020777273903506126,14500.031397784454,ok,-81.75497514774906,65.9436286513763,-0.11888278421585005,-64.15469705918622,61.261464713673746,-0.09328960094645022,1.3163693763207198,0.003920789599237459,0.005390869595656468
51,1,7.045833333333333,Forward,0.33551283725562747,389.42273872724036,17710.0,17719.907327871035,ok,0.000642266586825364,0.00190142531362802,14499.35463255455,ok,-81.77500299520398,65.94359952817905,-0.11891190741309875,-64.83146228909027,61.26048060555499,-0.09427370906520473,1.3163693763207198,0.005187116192505795,0.005390869595656468
52,1,7.181966666666667,Forward,0.3356523250356565,389.3266822511796,17710.0,17719.881689251546,ok,0.0006268262581249792,0.0017017741527891566,14499.695237311314,ok,-81.80064161469272,65.9435622461609,-0.11894918943126051,-64.49085753232612,61.26097589090891,-0.09377842371127848,1.3163693763207198,0.0044978557018953425,0.005390869595656468
53,1,7.3167333333333335,Forward,0.3354896812067336,389.2352422500044,17705.0,17719.83416778665,ok,0.0006322113599059152,0.0016251500855994838,14499.849020984537,ok,-81.84816307959045,65.94349314352772,-0.11901829206442563,-64.33707385910384,61.26119951315583,-0.09355480146435632,1.3163693763207198,0.004134383591017865,0.005390869595656468
54,1,7.451233333333334,Forward,0.33552105697775625,389.4566237964209,17710.0,17719.885736116074,ok,0.0006320417468915943,0.0017329767340290051,14499.811411881648,ok,-81.79659475016524,65.9435681308489,-0.11894330474324609,-64.37468296199222,61.261144824436826,-0.09360949018336273,1.3163693763207198,0.004281361467127653,0.005390869595656468
55,1,7.58735,Forward,0.3355550957577521,389.42243725518347,17710.0,17719.863656190755,ok,0.0006217962447123514,0.001577363822986642,14499.565243948493,ok,-81.81867467548363,65.94353602365308,-0.11897541193907589,-64.62085089514767,61.26078686298891,-0.09396745163127819,1.3163693763207198,0.004720463759237181,0.005390869595656468
56,1,7.7224,Forward,0.33538255472272777,389.3864443537823,17700.0,17719.934756732488,ok,0.0006411747704752067,0.00140721737913659,14500.021093657171,ok,-81.74757413375119,65.94363941345101,-0.11887202214114453,-64.16500118646945,61.26144973007992,-0.09330458454026982,1.3163693763207198,0.0039512756179943265,0.005390869595656468
57,1,7.857983333333333,Forward,0.33535791915755975,389.14606874845776,17705.0,17719.968313435507,ok,0.0006301175523460029,0.0019363576448574032,14499.599626893298,ok,-81.71401743073147,65.94368820943286,-0.11882322615928681,-64.58646795034292,61.260836860438005,-0.09391745418218667,1.3163693763207198,0.004806834428148027,0.005390869595656468
58,1,7.993816666666667,Forward,0.33545748294909405,389.1980333118918,17705.0,17719.9582162192,ok,0.0006218744809037524,0.001454861672822249,14499.80966630552,ok,-81.72411464704055,65.94367352671557,-0.11883790887658302,-64.37642853812031,61.2611422861332,-0.09361202848699249,1.3163693763207198,0.004390098678956733,0.005390869595656468
59,1,8.129116666666667,Forward,0.33556383472129137,389.31481954118135,17710.0,17719.98471827871,ok,0.0006398308795851261,0.0014381736651126354,14499.612543955674,ok,-81.69761258752987,65.94371206429223,-0.11879937129992313,-64.57355088796612,61.26085564359263,-0.09389867102756558,1.3163693763207198,0.0048059637179778125,0.005390869595656468
60,1,8.264166666666666,Forward,0.33551539364749894,389.38299844957146,17705.0,17719.96498876209,ok,0.0006279214724115309,0.0014133748867265349,14499.629532980407,ok,-81.71734210414797,65.94368337490835,-0.11882806068381144,-64.55656186323358,61.26088034793089,-0.09387396668929544,1.3163693763207198,0.0047447542997284264,0.005390869595656468
61,1,8.399233333333333,Forward,0.33552191536063247,389.26331786222,17710.0,17720.00687175427,ok,0.0006270639847303715,0.0012500197346346435,14499.995154473634,ok,-81.67545911196794,65.94374427844005,-0.11876715715209786,-64.1909403700065,61.26141201100101,-0.09334230361918333,1.3163693763207198,0.0041057928474257654,0.005390869595656468
62,1,8.534,Forward,0.33536039015394037,389.27961663893075,17710.0,17720.002779033173,ok,0.0006317511768479557,0.0009732421174129982,14499.445581498925,ok,-81.67955183306549,65.94373832707039,-0.11877310852176333,-64.74051334471551,61.260612857613154,-0.09414145700703673,1.3163693763207198,0.005151822524513475,0.005390869595656468
63,1,8.669833333333333,Forward,0.33544440463735287,389.3139876249261,17705.0,17720.031984223864,ok,0.0006318352791032264,0.0018921729117386819,14499.468007777004,ok,-81.65034664237464,65.94378079536514,-0.11873064022700075,-64.71808706663614,61.260645468452715,-0.09410884616747797,1.3163693763207198,0.005151362908744794,0.005390869595656468
64,1,8.805133333333334,Forward,0.33538639270214415,389.3536498916146,17705.0,17720.021280684698,ok,0.0006361771872435975,0.001301677472641847,14499.703848987017,ok,-81.66105018154121,65.94376523097247,-0.11874620461968494,-64.4822458566232,61.260988413449375,-0.09376590117081562,1.3163693763207198,0.004684356224691877,0.005390869595656468
65,1,8.94045,Forward,0.33555362233785035,389.3137702146523,17710.0,17720.06490443508,ok,0.0006376956791858392,0.0015849147512295534,14500.16043435676,ok,-81.6174264311594,65.9438286658019,-0.11868276979025767,-64.02566048688095,61.26165235029101,-0.09310196432918506,1.3163693763207198,0.003873804927985572,0.005390869595656468
66,1,9.076033333333333,Forward,0.33533018692260613,389.38350296353383,17705.0,17720.053542732112,ok,0.0006362824256565177,0.0011551657523393426,14499.86811013319,ok,-81.62878813412681,65.94381214435009,-0.1186992912420685,-64.31798471045113,61.26122727135815,-0.09352704326204456,1.3163693763207198,0.004416844365910069,0.005390869595656468
67,1,9.210816666666666,Forward,0.33526795714771623,389.53052952051803,17710.0,17720.178376436783,ok,0.000636907665562749,0.0012626603707034437,14499.759390331506,ok,-81.50395442945592,65.94399366942973,-0.11851776616242124,-64.42670451213417,61.261069178071466,-0.09368513654872364,1.3163693763207198,0.004806478606743575,0.005390869595656468
68,1,9.345583333333334,Forward,0.3351412454693633,389.3085877994454,17715.0,17720.392642664647,ok,0.0006274416721147566,0.0008388876331082428,14500.208314568514,ok,-81.28968820159207,65.94430524148618,-0.11820619410597027,-63.97778027512686,61.261721974590586,-0.09303234002960105,1.3163693763207198,0.004258729316452797,0.005390869595656468
69,1,9.480616666666666,Forward,0.3348152093143538,388.994088944939,17705.0,17720.760982202748,ok,0.0006361369660306414,0.0011474266899610367,14500.475877577986,ok,-80.92134866349079,65.94484085696092,-0.11767057863122854,-63.71021726565414,61.26211104737132,-0.09264326724887054,1.3163693763207198,0.004282181297480939,0.005390869595656468
70,1,9.615916666666667,Forward,0.3338110813321135,388.51276354516085,17710.0,17721.673929572735,ok,0.0006412383499898013,0.0014987435712336364,14500.551869162997,ok,-80.008401293504,65.94616840583474,-0.11634302975740865,-63.634225680643794,61.26222154940727,-0.09253276521291885,1.3163693763207198,0.005464268675152942,0.005390869595656468
71,1,9.7507,Forward,0.3324040617256695,387.6777678141625,17715.0,17723.544498855354,ok,0.0006330980868910903,0.0016953006882726874,14502.069544016824,ok,-78.13783201088518,65.94888846640579,-0.11362296918636103,-62.11655082681682,61.26442845378014,-0.09032586084005022,1.3163693763207198,0.005279227913288012,0.005390869595656468
72,1,9.886816666666666,Forward,0.3294669765127753,385.89737526296085,17715.0,17726.81172071811,ok,0.0006323573695011116,0.0018768890774705327,14504.191717469515,ok,-74.87061014812934,65.95363944860588,-0.1088719869862765,-59.99437737412518,61.26751438082236,-0.08723993379782431,1.3163693763207198,0.005967990257426378,0.005390869595656468
73,1,10.02215,Forward,0.3251138999376152,383.47018356039916,17720.0,17731.808323623063,ok,0.0006360904886271812,0.0014605509315540853,14507.869272411453,ok,-69.87400724317558,65.96090518459184,-0.10160625100032088,-56.31682243218711,61.27286204278195,-0.08189227183824027,1.3163693763207198,0.00619422780487032,0.005390869595656468
74,1,10.157716666666667,Forward,0.3188253990616501,379.7709094147758,17725.0,17738.890360175224,ok,0.0006357040114958598,0.0008467411990845809,14513.300796437154,ok,-62.791970691014285,65.97120342297693,-0.09130801261522199,-50.88529840648698,61.280760212863264,-0.07399410175692636,1.3163693763207198,0.00609555696595504,0.005390869595656468
