scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,5,0.14448333333333332,Forward,0.4694333952961432,17020.0,17023.099173185128,ok,0.0006118223025092051,14450.939997786694,ok,-87.77194543648147,65.02921085858758,-0.12859331627194112,-67.90332502565252,61.260780334472656,-0.09948410858979116,,,0.0038989235312830157
1,5,0.28031666666666666,Forward,0.4696980071695159,17025.0,17022.60254126426,ok,0.000631416957672982,14450.515588370841,ok,-88.2685773573503,65.02848325086106,-0.12932092399845826,-68.32773444150553,61.26015853881836,-0.10010590424408791,,,0.0038989235312830157
2,5,0.4159,Forward,0.46960075563485926,17025.0,17022.701380958242,ok,0.0006160780773739878,14450.08857521624,ok,-88.16973766336741,65.02862805936411,-0.12917611549540692,-68.75474759610734,61.2595329284668,-0.1007315145956521,,,0.0038989235312830157
3,5,0.5517166666666666,Forward,0.46968858238234645,17025.0,17022.539305883794,ok,0.0006094672190563638,14449.836012557726,ok,-88.3318127378152,65.02839060568567,-0.129413569173853,-69.00731025462119,61.25916290283203,-0.1011015402304178,,,0.0038989235312830157
4,5,0.6867666666666666,Forward,0.46970217038053697,17025.0,17022.578422279083,ok,0.0006134921473349184,14449.580846160465,ok,-88.29269634252705,65.02844791450987,-0.12935626034965306,-69.26247665188203,61.2587890625,-0.10147538056244827,,,0.0038989235312830157
5,5,0.82235,Forward,0.47001292951825735,17025.0,17022.50639833132,ok,0.0006182085863012188,14449.494922781796,ok,-88.36472029029028,65.0283423933408,-0.1294617815187215,-69.34840003055069,61.258663177490234,-0.10160126557221247,,,0.0038989235312830157
6,5,0.9581833333333334,Forward,0.4697959399975382,17020.0,17022.58150034415,ok,0.0006218260331459291,14449.494922781796,ok,-88.28961827746025,65.02845242413527,-0.12935175072425198,-69.34840003055069,61.258663177490234,-0.10160126557221247,,,0.0038989235312830157
7,5,1.0948333333333333,Forward,0.46976622191371864,17025.0,17022.62693997584,ok,0.000624964945524073,14449.411603141873,ok,-88.24417864577117,65.02851899703506,-0.1292851778244488,-69.4317196704742,61.258541107177734,-0.10172333588471455,,,0.0038989235312830157
8,5,1.2304333333333333,Forward,0.469682282864086,17025.0,17022.53469707096,ok,0.0006151701765863869,14449.494922781796,ok,-88.33642155064808,65.02838385338545,-0.12942032147407045,-69.34840003055069,61.258663177490234,-0.10160126557221247,,,0.0038989235312830157
9,5,1.3668,Forward,0.46971001677962143,17025.0,17022.457654195197,ok,0.0006188782424314716,14449.520960169271,ok,-88.41346442641225,65.0282709790628,-0.12953319579672987,-69.3223626430754,61.25870132446289,-0.10156311859955673,,,0.0038989235312830157
10,5,1.5034,Forward,0.46973717029517215,17025.0,17022.65989184149,ok,0.0006120935463492195,14449.528771385514,ok,-88.21122678012034,65.02856727430249,-0.1292369005570336,-69.31455142683262,61.25871276855469,-0.10155167450775975,,,0.0038989235312830157
11,5,1.63895,Forward,0.4696961233441611,17020.0,17022.545921092093,ok,0.0006183250115371517,14449.520960169271,ok,-88.32519752951703,65.02840029752477,-0.12940387733475042,-69.3223626430754,61.25870132446289,-0.10156311859955673,,,0.0038989235312830157
12,5,1.7745166666666667,Forward,0.4696185410012924,17020.0,17022.622662546983,ok,0.0006147510873155468,14449.531375124261,ok,-88.24845607462703,65.02851273024038,-0.12929144461913994,-69.31194768808564,61.25871658325195,-0.10154785981049497,,,0.0038989235312830157
13,5,1.9103666666666668,Forward,0.46972910205438045,17020.0,17022.649217045237,ok,0.0006216550046210982,14449.520960169271,ok,-88.22190157637306,65.02855163482401,-0.12925254003550066,-69.3223626430754,61.25870132446289,-0.10156311859955673,,,0.0038989235312830157
14,5,2.0468166666666665,Forward,0.46974799006777235,17020.0,17022.648977257708,ok,0.000618902272073703,14449.224133952048,ok,-88.22214136390176,65.02855128351503,-0.1292528913444908,-69.61918886029889,61.25826644897461,-0.10199799408783958,,,0.0038989235312830157
15,5,2.1837,Forward,0.4696469614760175,17020.0,17022.57038643578,ok,0.000629341825694505,14449.205907780815,ok,-88.3007321858313,65.02843614132044,-0.12936803353907475,-69.63741503153142,61.25823974609375,-0.10202469696869831,,,0.0038989235312830157
16,5,2.3187166666666665,Forward,0.46948709744434497,17020.0,17022.484599426025,ok,0.000620244460105145,14449.224133952048,ok,-88.3865191955847,65.02831045610266,-0.1294937187568557,-69.61918886029889,61.25826644897461,-0.10199799408783958,,,0.0038989235312830157
17,5,2.4539833333333334,Forward,0.4696987501670359,17020.0,17022.642121950783,ok,0.000619188468828278,14449.205907780815,ok,-88.22899667082675,65.02854123991115,-0.1292629349483686,-69.63741503153142,61.25823974609375,-0.10202469696869831,,,0.0038989235312830157
18,5,2.5890166666666667,Forward,0.4696385052058704,17020.0,17022.551740757153,ok,0.0006211269244721755,14449.205907780815,ok,-88.31937786445633,65.02840882382581,-0.1293953510337094,-69.63741503153142,61.25823974609375,-0.10202469696869831,,,0.0038989235312830157
19,5,2.7235833333333335,Forward,0.4696315150950236,17020.0,17022.67759868155,ok,0.0006179020483642703,14449.205907780815,ok,-88.19351994006138,65.0285932163193,-0.12921095854022455,-69.63741503153142,61.25823974609375,-0.10202469696869831,,,0.0038989235312830157
20,5,2.8588833333333334,Forward,0.46954748951733377,17020.0,17022.620072271544,ok,0.0006179783331089842,14449.312661069465,ok,-88.25104635006574,65.028508935268,-0.1292952395915205,-69.53066174288142,61.25839614868164,-0.10186829438080794,,,0.0038989235312830157
21,5,2.9933833333333335,Forward,0.4695383956830549,17025.0,17022.757277422512,ok,0.0006152542836768268,14449.312661069465,ok,-88.1138411990978,65.02870995240718,-0.12909422245233307,-69.53066174288142,61.25839614868164,-0.10186829438080794,,,0.0038989235312830157
22,5,3.127883333333333,Forward,0.46933758221797384,17025.0,17022.685863233713,ok,0.0006325496335571415,14449.450659223086,ok,-88.18525538789618,65.02860532458652,-0.129198850272997,-69.39266358926034,61.25859832763672,-0.1016661154257296,,,0.0038989235312830157
23,5,3.2629333333333332,Forward,0.46959656134037636,17025.0,17022.780303536172,ok,0.0006183960537514286,14449.450659223086,ok,-88.0908150854375,65.02874368760926,-0.12906048725025102,-69.39266358926034,61.25859832763672,-0.1016661154257296,,,0.0038989235312830157
24,5,3.3979833333333334,Forward,0.4694503871647828,17025.0,17022.59868585226,ok,0.000614552986751192,14449.450659223086,ok,-88.27243276935042,65.02847760235672,-0.12932657250279783,-69.39266358926034,61.25859832763672,-0.1016661154257296,,,0.0038989235312830157
