scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRTemplateRelativeRMSE,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,4,0.14448333333333332,Forward,0.31108333916689396,17650.0,17653.009056549003,ok,0.0005807951823457097,4.837114551776295e-11,14483.086984519261,ok,-92.6988819581602,65.87868544852985,-0.13455067044459032,-67.32820538186024,61.27760363352786,-0.0977256141886284,1.1543942747104796,-0.021736780932672478,0.006507250918156904
1,4,0.28031666666666666,Forward,0.3112497955424244,17650.0,17652.675428286857,ok,0.00057518452223643,0.0021288117429949507,14482.451886905203,ok,-93.032510220306,65.87820119342986,-0.13503492554457353,-67.96330299591864,61.27668180137666,-0.0986474463398283,1.1543942747104796,-0.021156878275066474,0.006507250918156904
2,4,0.4159,Forward,0.3112915784471245,17650.0,17652.586136426296,ok,0.0005719263780920876,0.0015440498069689685,14482.435493930994,ok,-93.12180208086647,65.87807158798641,-0.13516453098802514,-67.97969597012707,61.276658007285256,-0.09867124043123192,1.1543942747104796,-0.021259015955629817,0.006507250918156904
3,4,0.5517166666666666,Forward,0.3111138076622794,17650.0,17652.33826951436,ok,0.0005816686961915114,0.0010314092057951009,14481.589512783567,ok,-93.36966899280378,65.87771181386101,-0.13552430511342667,-68.82567711755473,61.27543008168178,-0.09989916603470632,1.1543942747104796,-0.02020127979461009,0.006507250918156904
4,4,0.6867666666666666,Forward,0.31124001216774944,17645.0,17652.326016529038,ok,0.0005809037093690303,0.0011780602854839428,14481.553170869822,ok,-93.38192197812532,65.87769402888502,-0.13554209008941703,-68.8620190312995,61.27537733208269,-0.09995191563379861,1.1543942747104796,-0.02015817093541504,0.006507250918156904
5,4,0.82235,Forward,0.31141831621834115,17655.0,17652.16638110585,ok,0.0005786237616161017,0.001816810749936237,14481.843504099194,ok,-93.54155740131318,65.87746232109347,-0.13577379788095575,-68.57168580192774,61.275798745263074,-0.09953050245341157,1.1543942747104796,-0.020876355689680104,0.006507250918156904
6,4,0.9581833333333334,Forward,0.31136991688631077,17650.0,17652.361295136394,ok,0.0005803506354372887,0.0011575686334155395,14482.167509338913,ok,-93.34664337076902,65.87774523511504,-0.1354908838593971,-68.24768056220819,61.27626903272837,-0.0990602149881161,1.1543942747104796,-0.021136338825526624,0.006507250918156904
7,4,1.0948333333333333,Forward,0.3113133237813136,17650.0,17652.199058617,ok,0.000589693514189643,0.0012297719435681988,14482.141295500007,ok,-93.50887989016337,65.87750975188165,-0.13572636709278668,-68.27389440111438,61.276230983837976,-0.0990982638785153,1.1543942747104796,-0.021327898637680295,0.006507250918156904
8,4,1.2304333333333333,Forward,0.3112516798792608,17655.0,17652.090205200733,ok,0.0005898811553254242,0.0010919800769358206,14481.45705805889,ok,-93.61773330642973,65.8773517532108,-0.1358843657636383,-68.95813184223152,61.275237826159035,-0.1000914215574521,1.1543942747104796,-0.02033940177008252,0.006507250918156904
9,4,1.3668,Forward,0.311229276633718,17660.0,17652.544089719628,ok,0.0005760182347154701,0.0007570293642850097,14481.140000107735,ok,-93.16384878753524,65.8780105579885,-0.13522556098593627,-69.27518979338674,61.27477762255144,-0.10055162516505309,1.1543942747104796,-0.019149340582564803,0.006507250918156904
10,4,1.5034,Forward,0.3112830565709499,17650.0,17652.499633742234,ok,0.0005881815719726884,0.0014538704189936418,14481.534146352695,ok,-93.20830476492847,65.87794603097979,-0.13529008799464634,-68.88104354842653,61.27534971835661,-0.09997952935987875,1.1543942747104796,-0.019874291713354003,0.006507250918156904
11,4,1.63895,Forward,0.31112984305563235,17660.0,17652.336417483562,ok,0.0005855878777345738,0.0012514667625402344,14481.974716600227,ok,-93.37152102360051,65.8777091256734,-0.13552699330103066,-68.44047330089415,61.27598919772174,-0.09934004999474276,1.1543942747104796,-0.0208494083376468,0.006507250918156904
12,4,1.7745166666666667,Forward,0.31129995310917935,17650.0,17652.185176492716,ok,0.0005863316676219205,0.001661977638190629,14481.603669409742,ok,-93.52276201444693,65.87748960224133,-0.13574651673310692,-68.81152049137927,61.27545062975639,-0.09987861796009198,1.1543942747104796,-0.02044721199398146,0.006507250918156904
13,4,1.9103666666666668,Forward,0.31150546732798723,17650.0,17652.38926020726,ok,0.0005855960443351532,0.0020390376302517727,14481.377762012151,ok,-93.3186782999037,65.87778582588544,-0.13545029308899645,-69.03742788897034,61.27512272944992,-0.10020651826657022,1.1543942747104796,-0.0197724621133967,0.006507250918156904
14,4,2.0468166666666665,Forward,0.311408573206864,17650.0,17652.2587939369,ok,0.0005851618155069774,0.001128901390489246,14481.823169584013,ok,-93.44914457026243,65.87759645656645,-0.13563966240798236,-68.59202031710811,61.27576923009965,-0.0995600176168406,1.1543942747104796,-0.020708148081027097,0.006507250918156904
