scan_index,channel_id,time_min,direction,DipDepth,RawMinimumMotor,SPRMotor,SPRQuality,TIREdgeSlope,TIRMotor,TIRQuality,DeltaSPRMotor,SPRAngleEmpirical,DeltaSPRAngle,DeltaTIRMotor,TIRAngleEmpirical,DeltaTIRAngle,BulkSensitivity,PureKineticsCandidate,AngleCalibrationRMSEDeg
0,5,0.14448333333333332,Forward,0.4694333952961432,17020.0,17023.099173185128,ok,0.0006118223025092051,14462.283010040117,ok,-87.77194543648147,65.02921085858758,-0.12859331627194112,-68.21537838191398,61.27739880584101,-0.09994129312336733,,,0.0038989235312830157
1,5,0.28031666666666666,Forward,0.4696980071695159,17025.0,17022.60254126426,ok,0.000631416957672982,14462.030203541448,ok,-88.2685773573503,65.02848325086106,-0.12932092399845826,-68.46818488058307,61.277028422959816,-0.10031167600456349,,,0.0038989235312830157
2,5,0.4159,Forward,0.46960075563485926,17025.0,17022.701380958242,ok,0.0006160780773739878,14461.390222697286,ok,-88.16973766336741,65.02862805936411,-0.12917611549540692,-69.10816572474505,61.27609079694854,-0.10124930201583679,,,0.0038989235312830157
3,5,0.5517166666666666,Forward,0.46968858238234645,17025.0,17022.539305883794,ok,0.0006094672190563638,14461.443934081964,ok,-88.3318127378152,65.02839060568567,-0.129413569173853,-69.05445434006651,61.27616948866539,-0.1011706102989901,,,0.0038989235312830157
4,5,0.6867666666666666,Forward,0.46970217038053697,17025.0,17022.578422279083,ok,0.0006134921473349184,14461.546604887344,ok,-88.29269634252705,65.02844791450987,-0.12935626034965306,-68.95178353468691,61.27631991007034,-0.10102018889403641,,,0.0038989235312830157
5,5,0.82235,Forward,0.47001292951825735,17025.0,17022.50639833132,ok,0.0006182085863012188,14461.387437647556,ok,-88.36472029029028,65.0283423933408,-0.1294617815187215,-69.11095077447499,61.27608671661537,-0.1012533823490113,,,0.0038989235312830157
6,5,0.9581833333333334,Forward,0.4697959399975382,17020.0,17022.58150034415,ok,0.0006218260331459291,14461.351999430115,ok,-88.28961827746025,65.02845242413527,-0.12935175072425198,-69.14638899191596,61.2760347966325,-0.10130530233188097,,,0.0038989235312830157
7,5,1.0948333333333333,Forward,0.46976622191371864,17025.0,17022.62693997584,ok,0.000624964945524073,14460.965385911735,ok,-88.24417864577117,65.02851899703506,-0.1292851778244488,-69.53300251029577,61.27546837516152,-0.1018717238028509,,,0.0038989235312830157
8,5,1.2304333333333333,Forward,0.469682282864086,17025.0,17022.53469707096,ok,0.0006151701765863869,14461.427946915786,ok,-88.33642155064808,65.02838385338545,-0.12942032147407045,-69.0704415062446,61.27614606611611,-0.10119403284826149,,,0.0038989235312830157
9,5,1.3668,Forward,0.46971001677962143,17025.0,17022.457654195197,ok,0.0006188782424314716,14461.257779146923,ok,-88.41346442641225,65.0282709790628,-0.12953319579672987,-69.240609275108,61.275896755956566,-0.10144334300781101,,,0.0038989235312830157
10,5,1.5034,Forward,0.46973717029517215,17025.0,17022.65989184149,ok,0.0006120935463492195,14461.85276738573,ok,-88.21122678012034,65.02856727430249,-0.1292369005570336,-68.64562103630124,61.27676846399939,-0.10057163496499073,,,0.0038989235312830157
11,5,1.63895,Forward,0.4696961233441611,17020.0,17022.545921092093,ok,0.0006183250115371517,14461.088777360454,ok,-88.32519752951703,65.02840029752477,-0.12940387733475042,-69.40961106157738,61.27564915405974,-0.10169094490463472,,,0.0038989235312830157
12,5,1.7745166666666667,Forward,0.4696185410012924,17020.0,17022.622662546983,ok,0.0006147510873155468,14461.47474334759,ok,-88.24845607462703,65.02851273024038,-0.12929144461913994,-69.02364507444145,61.27621462684273,-0.10112547212164963,,,0.0038989235312830157
13,5,1.9103666666666668,Forward,0.46972910205438045,17020.0,17022.649217045237,ok,0.0006216550046210982,14461.232769333823,ok,-88.22190157637306,65.02855163482401,-0.12925254003550066,-69.26561908820804,61.27586011446719,-0.10147998449718307,,,0.0038989235312830157
14,5,2.0468166666666665,Forward,0.46974799006777235,17020.0,17022.648977257708,ok,0.000618902272073703,14461.075497802169,ok,-88.22214136390176,65.02855128351503,-0.1292528913444908,-69.4228906198623,61.27562969838481,-0.10171040057956585,,,0.0038989235312830157
15,5,2.1837,Forward,0.4696469614760175,17020.0,17022.57038643578,ok,0.000629341825694505,14461.218907974566,ok,-88.3007321858313,65.02843614132044,-0.12936803353907475,-69.27948044746518,61.275839806404676,-0.10150029255969721,,,0.0038989235312830157
16,5,2.3187166666666665,Forward,0.46948709744434497,17020.0,17022.484599426025,ok,0.000620244460105145,14461.192462396091,ok,-88.3865191955847,65.02831045610266,-0.1294937187568557,-69.3059260259397,61.27580106139772,-0.10153903756665651,,,0.0038989235312830157
