time_min,window_start_min,samples,dSPR,dTIR,dWeightedTIR,dCorrected,SPRHalfWidth95,TIRHalfWidth95,CorrectedHalfWidth95,CorrectedLow95,CorrectedHigh95,identity_error,equivalent_slope,sustained_plateau,corrected_response_mdeg,T_after_injection_min,s_after_arrival50_min,u_tail_age_over_tau,normalized_tail_response
40.86815,38.97266666666667,15,75.62067700670377,13.188493735564409,16.5647831684537,59.05589383825509,18.62084715500571,11.030889910147597,6.758520959490791,52.2973728787643,65.81441479774588,5.016431714466307e-12,False,False,102.4784304583918,4.456016666666663,-0.015119887701466439,0.0,-0.24607806610961658
41.00265,39.10851666666667,15,84.90702355311805,19.23366045660805,24.157528629689253,60.74949492343558,18.245975597385712,13.61522821841992,4.489402825862502,56.26009209757308,65.23889774929808,6.778577699151356e-12,False,False,106.9674706399128,4.590516666666666,0.11938011229853629,0.03181486233131117,-0.035354732251601975
41.13848333333333,39.24381666666667,15,92.4665807163692,25.411732463948283,31.917203483589837,60.549377232770894,16.222616697941515,14.763478405096654,4.787103748292566,55.76227348447833,65.33648098106346,-8.483880264975596e-12,False,False,109.79782952205642,4.7263499999999965,0.2552134456318669,0.06394511363244818,0.09750722387770627
41.2738,39.37886666666667,15,97.43326926972804,31.29820046668829,39.31062293303661,58.122646336692014,12.71220805632804,14.456940584961355,7.766889554666378,50.35575678202564,65.88953589135839,5.826450433232823e-13,False,False,109.26035738073188,4.861666666666665,0.39053011229853496,0.09595315170777814,0.07227734913924073
41.40936666666666,39.514716666666665,15,99.58263952100242,36.02197781992436,45.24369983789962,54.33893968311395,9.665308724920443,12.645839284383465,10.525942431862903,43.81299725125105,64.86488211497685,1.1148415524075972e-11,False,False,111.11336819338976,4.997233333333327,0.5260967789651971,0.1280203252149493,0.15926089135068872
41.5444,39.65125,15,99.02180559080443,39.527222096341575,49.64629596112019,49.375509629699536,9.990221152565017,10.247891717332031,12.54926593381524,36.8262436958843,61.92477556351477,1.5290879673557356e-11,False,False,112.0583240885062,5.132266666666666,0.6611301122985367,0.15996134313419216,0.20361876040862423
41.67945,39.78628333333333,15,95.97877682346734,42.08127787796184,52.85419680794609,43.12458001552932,13.346554552594863,8.04264140297985,14.214436213008538,28.91014380252078,57.33901622853786,8.064660050877137e-12,False,False,110.20012245861652,5.267316666666666,0.7961801122985364,0.19190630341555628,0.11639155223111214
41.814483333333335,39.92111666666667,15,90.65835382958905,43.15499847645697,54.20279273210475,36.45556109748577,17.48754957805821,6.814307417796504,14.76882312159898,21.686737975886796,51.22438421908475,1.4850343177386094e-12,False,False,110.83011562917454,5.402349999999998,0.9312134456318688,0.22384732133479746,0.1459645245903809
41.950066666666665,40.05628333333333,15,83.4272401112612,42.53156345503885,53.419756688984585,30.007483422266432,21.217646734497755,7.711990667539911,14.063895769432698,15.943587652833736,44.07137919169913,-1.0182077403442236e-11,False,False,112.76981369813802,5.537933333333328,1.0667967789651982,0.2559184372040916,0.23701731700077228
42.08565,40.190783333333336,15,74.62051216413965,40.20029252712993,50.49167421027092,24.128837953859147,23.957981555841744,10.118759937042878,12.46827650703736,11.660561446821788,36.597114460896506,-9.585221505403752e-12,False,False,114.5084077377578,5.673516666666664,1.2023801122985347,0.2879895530733874,0.31862993739175766
42.222116666666665,40.32663333333333,15,64.59445765003329,36.25597845729863,45.53760526008837,19.056852389945107,25.079892382112572,12.39254144539342,10.315153321105372,8.741699068839734,29.37200571105048,1.8474111129762605e-13,False,False,116.0326068962204,5.809983333333328,1.3388467789651983,0.3202696141351922,0.39017849012179634
42.357416666666666,40.461666666666666,15,53.72715001931647,31.695732507268986,39.809924232090566,13.917225787222378,24.066634969070464,13.251717856615734,7.754383996564554,6.162841790657824,21.67160978378693,-3.524291969370097e-12,False,False,114.03252927872018,5.945283333333329,1.4741467789651992,0.35227370984839923,0.29629137695462493
