repeat,index,time_min,latency_ms
0,351,47.63235,52.5439
0,352,47.7674,56.3675
0,353,47.90298333333333,60.6737
0,354,48.0383,53.3919
0,355,48.17333333333333,56.2212
0,356,48.30811666666666,39.131
0,357,48.44343333333333,40.33
0,358,48.57848333333333,41.2876
0,359,48.71353333333333,40.7097
0,360,48.84911666666667,42.2747
0,361,48.98441666666667,40.5851
0,362,49.11891666666666,36.6447
0,363,49.25395,35.2862
0,364,49.38978333333333,35.2215
0,365,49.52455,38.2113
0,366,49.65958333333333,34.208
0,367,49.7941,35.8134
0,368,49.9294,32.0371
0,369,50.0647,35.7988
0,370,50.19973333333333,51.4745
0,371,50.33505,42.3786
0,372,50.46983333333333,37.5722
0,373,50.60566666666666,35.4363
0,374,50.741,35.907
0,375,50.87656666666667,30.8052
0,376,51.011633333333336,33.4671
0,377,51.14613333333333,42.3674
0,378,51.28145,51.465
0,379,51.41623333333333,33.289
0,380,51.552083333333336,32.3899
0,381,51.68728333333333,33.4544
0,382,51.82311666666666,35.4134
0,383,51.95926666666666,34.2841
0,384,52.09458333333333,34.2957
0,385,52.23068333333333,33.4182
0,386,52.36573333333333,39.9257
0,387,52.50131666666667,31.3799
0,388,52.63635,31.4633
0,389,52.7722,31.9526
0,390,52.90725,31.6923
0,391,53.04255,31.1482
0,392,53.17733333333333,31.5483
0,393,53.313183333333335,34.1541
0,394,53.44821666666667,50.2286
0,395,53.58273333333333,55.4081
0,396,53.7183,43.4028
0,397,53.85308333333333,40.4023
0,398,53.98918333333334,46.7489
0,399,54.12505,30.4869
0,400,54.25983333333333,29.7169
0,401,54.39463333333333,36.6301
0,402,54.53021666666667,40.9423
0,403,54.66578333333333,39.1447
0,404,54.80056666666667,40.9857
0,405,54.93505,39.6353
0,406,55.0701,35.1883
0,407,55.20486666666667,46.8102
0,408,55.34045,37.3198
0,409,55.475233333333335,37.0222
0,410,55.6108,37.4532
0,411,55.74638333333333,47.3792
0,412,55.8809,31.9618
0,413,56.0162,33.7691
0,414,56.15125,33.7406
0,415,56.28628333333333,34.4639
0,416,56.42106666666667,34.4006
0,417,56.55583333333333,34.868
0,418,56.69146666666666,37.2577
0,419,56.8265,38.915
0,420,56.96208333333333,35.2284
0,421,57.097116666666665,32.9647
0,422,57.23243333333333,34.7144
0,423,57.36725,41.0686
0,424,57.50205,36.7282
0,425,57.6379,37.3785
0,426,57.77268333333333,38.5716
0,427,57.90773333333333,35.5766
1,351,47.63235,44.3725
1,352,47.7674,41.5606
1,353,47.90298333333333,42.5307
1,354,48.0383,41.1053
1,355,48.17333333333333,40.2537
1,356,48.30811666666666,41.8362
1,357,48.44343333333333,40.2698
1,358,48.57848333333333,42.8351
1,359,48.71353333333333,39.4765
1,360,48.84911666666667,40.5151
1,361,48.98441666666667,36.4724
1,362,49.11891666666666,37.5395
1,363,49.25395,38.6246
1,364,49.38978333333333,36.1781
1,365,49.52455,33.6844
1,366,49.65958333333333,33.8832
1,367,49.7941,34.4627
1,368,49.9294,33.0944
1,369,50.0647,37.0199
1,370,50.19973333333333,36.5292
1,371,50.33505,34.5748
1,372,50.46983333333333,36.4424
1,373,50.60566666666666,34.319
1,374,50.741,39.9907
1,375,50.87656666666667,36.2175
1,376,51.011633333333336,33.529
1,377,51.14613333333333,30.995
1,378,51.28145,36.7717
1,379,51.41623333333333,40.4769
1,380,51.552083333333336,56.5096
1,381,51.68728333333333,38.0115
